fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
0,centroid,1,Alaris,28,0.7142857142857143,0.8928571428571429,0.8928571428571429
0,centroid,1,Alcatras,26,0.6153846153846154,0.9615384615384616,0.9615384615384616
0,centroid,1,Braga,38,0.631578947368421,0.8947368421052632,1.0
0,centroid,1,Castor,32,0.90625,1.0,1.0
0,centroid,1,Denom,38,0.8157894736842105,1.0,1.0
0,centroid,1,Gemini,28,0.75,0.9642857142857143,1.0
0,centroid,1,Hawk,26,1.0,1.0,1.0
0,centroid,1,Ilias,29,0.7586206896551724,1.0,1.0
0,centroid,1,Mytikas,28,0.32142857142857145,0.8928571428571429,0.9285714285714286
0,centroid,1,Nivalis,23,0.6086956521739131,0.8260869565217391,1.0
0,centroid,1,Ratikon,28,0.7857142857142857,1.0,1.0
0,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
0,centroid,1,Triton,54,0.7777777777777778,0.9814814814814815,0.9814814814814815
0,centroid,1,Trius,41,0.6097560975609756,0.8292682926829268,0.926829268292683
0,centroid,1,Turbine,28,0.8214285714285714,0.9285714285714286,0.9642857142857143
0,centroid,1,Vega,36,0.9444444444444444,0.9722222222222222,1.0
0,centroid,1,Velorum,60,0.9833333333333333,1.0,1.0
0,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
1,centroid,1,Alaris,28,0.75,0.9285714285714286,0.9285714285714286
1,centroid,1,Alcatras,26,0.6923076923076923,0.9230769230769231,0.9615384615384616
1,centroid,1,Braga,38,0.5,0.8947368421052632,0.9736842105263158
1,centroid,1,Castor,32,0.9375,0.9375,0.9375
1,centroid,1,Denom,38,0.631578947368421,0.9473684210526315,1.0
1,centroid,1,Gemini,27,0.8148148148148148,0.8518518518518519,0.8888888888888888
1,centroid,1,Hawk,26,0.8076923076923077,0.9230769230769231,0.9230769230769231
1,centroid,1,Ilias,29,0.6551724137931034,1.0,1.0
1,centroid,1,Mytikas,28,0.39285714285714285,0.8928571428571429,0.9642857142857143
1,centroid,1,Nivalis,22,0.7727272727272727,0.9545454545454546,1.0
1,centroid,1,Ratikon,28,0.75,1.0,1.0
1,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
1,centroid,1,Triton,54,0.8148148148148148,0.9629629629629629,1.0
1,centroid,1,Trius,41,0.5121951219512195,0.8536585365853658,0.975609756097561
1,centroid,1,Turbine,28,0.8571428571428571,0.9285714285714286,1.0
1,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
1,centroid,1,Velorum,59,0.9661016949152542,1.0,1.0
1,centroid,1,Xtreme,38,1.0,1.0,1.0
2,centroid,1,Alaris,28,0.7857142857142857,0.9285714285714286,0.9642857142857143
2,centroid,1,Alcatras,26,0.6538461538461539,0.8461538461538461,1.0
2,centroid,1,Braga,37,0.5945945945945946,0.8648648648648649,0.972972972972973
2,centroid,1,Castor,32,0.9375,1.0,1.0
2,centroid,1,Denom,38,0.8421052631578947,1.0,1.0
2,centroid,1,Gemini,27,0.8888888888888888,0.9629629629629629,0.9629629629629629
2,centroid,1,Hawk,26,0.8846153846153846,0.9615384615384616,1.0
2,centroid,1,Ilias,29,0.6206896551724138,0.9310344827586207,0.9655172413793104
2,centroid,1,Mytikas,28,0.4642857142857143,0.8214285714285714,0.9285714285714286
2,centroid,1,Nivalis,22,0.6818181818181818,1.0,1.0
2,centroid,1,Ratikon,28,0.6785714285714286,0.9642857142857143,0.9642857142857143
2,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
2,centroid,1,Triton,53,0.8113207547169812,0.9245283018867925,0.9622641509433962
2,centroid,1,Trius,41,0.5365853658536586,0.7317073170731707,0.9512195121951219
2,centroid,1,Turbine,28,0.7857142857142857,0.9642857142857143,1.0
2,centroid,1,Vega,35,0.9142857142857143,0.9714285714285714,0.9714285714285714
2,centroid,1,Velorum,59,0.9661016949152542,0.9661016949152542,1.0
2,centroid,1,Xtreme,38,0.9736842105263158,0.9736842105263158,1.0
