fold,retrieval_mode,topn,label,precision,recall,f1_score,support
1,centroid,1,Alaris,0.8,0.8571428571428571,0.8275862068965517,28
1,centroid,1,Alcatras,0.8571428571428571,0.9230769230769231,0.8888888888888888,26
1,centroid,1,Braga,0.9142857142857143,0.8421052631578947,0.8767123287671232,38
1,centroid,1,Castor,0.8787878787878788,0.90625,0.8923076923076924,32
1,centroid,1,Denom,0.868421052631579,0.868421052631579,0.868421052631579,38
1,centroid,1,Gemini,0.96,0.8888888888888888,0.9230769230769231,27
1,centroid,1,Hawk,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
1,centroid,1,Ilias,0.9655172413793104,0.9655172413793104,0.9655172413793104,29
1,centroid,1,Mytikas,0.7666666666666667,0.8214285714285714,0.7931034482758621,28
1,centroid,1,Nivalis,0.9444444444444444,0.7727272727272727,0.85,22
1,centroid,1,Ratikon,0.8125,0.9285714285714286,0.8666666666666667,28
1,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
1,centroid,1,Triton,0.8888888888888888,0.8888888888888888,0.8888888888888888,54
1,centroid,1,Trius,0.8,0.7804878048780488,0.7901234567901234,41
1,centroid,1,Turbine,0.9615384615384616,0.8928571428571429,0.9259259259259259,28
1,centroid,1,Vega,0.9714285714285714,0.9714285714285714,0.9714285714285714,35
1,centroid,1,Velorum,0.9830508474576272,0.9830508474576272,0.9830508474576272,59
1,centroid,1,Xtreme,1.0,1.0,1.0,38
1,centroid,1,macro avg,0.9034200840856048,0.9007733154217737,0.9009643620411235,612
1,centroid,1,weighted avg,0.9073503529876078,0.9052287581699346,0.9054203221541192,612
