epoch,embedding_loss,logits_loss,logits_top1,logits_top3,loss,val_embedding_loss,val_logits_loss,val_logits_top1,val_logits_top3,val_loss
0,0.376661092042923,2.7844440937042236,0.1483292579650879,0.3895680606365204,2.9746809005737305,0.22588340938091278,2.650355100631714,0.23856209218502045,0.47875815629959106,2.779493570327759
1,0.4052535891532898,2.5154380798339844,0.3431132733821869,0.5460472702980042,2.719419479370117,0.34526583552360535,2.2529239654541016,0.4019607901573181,0.656862735748291,2.464717388153076
2,0.4879869222640991,2.2028937339782715,0.4694376587867737,0.7375712990760803,2.454016923904419,0.3300808072090149,2.0061721801757812,0.46078431606292725,0.7696078419685364,2.212724447250366
3,0.49924150109291077,1.9843722581863403,0.5338223576545715,0.8076609373092651,2.2402217388153076,0.3219098746776581,1.7790006399154663,0.5898692607879639,0.8333333134651184,1.9858413934707642
4,0.4992836117744446,1.8205957412719727,0.5982069969177246,0.8565607070922852,2.0668721199035645,0.2794959843158722,1.6662280559539795,0.5686274766921997,0.8660130500793457,1.852839469909668
5,0.472114622592926,1.6661609411239624,0.634881854057312,0.8850855827331543,1.9095802307128906,0.2794347405433655,1.5016605854034424,0.6372548937797546,0.9035947918891907,1.6883975267410278
6,0.46453118324279785,1.5416418313980103,0.6519967317581177,0.9111654162406921,1.7776362895965576,0.2634550929069519,1.4091064929962158,0.6846405267715454,0.9330065250396729,1.588289499282837
7,0.4568521976470947,1.444967269897461,0.6911165714263916,0.9119804501533508,1.6763200759887695,0.2675012946128845,1.3125669956207275,0.6977124214172363,0.9428104758262634,1.493156909942627
8,0.4675271809101105,1.3655674457550049,0.6992664933204651,0.9290953278541565,1.599666953086853,0.25019189715385437,1.2177056074142456,0.720588207244873,0.9493464231491089,1.3871970176696777
9,0.43613579869270325,1.2623491287231445,0.7375712990760803,0.9421352744102478,1.4873520135879517,0.277046263217926,1.133408784866333,0.7745097875595093,0.9624183177947998,1.316149115562439
10,0.4496864974498749,1.2046786546707153,0.7628361582756042,0.945395290851593,1.4334577322006226,0.2355308085680008,1.1552973985671997,0.7173202633857727,0.9542483687400818,1.3176127672195435
11,0.43307510018348694,1.1118782758712769,0.7897310256958008,0.9543602466583252,1.3374652862548828,0.2552330195903778,1.0311810970306396,0.7712418437004089,0.9493464231491089,1.2005910873413086
12,0.4086851179599762,1.0670684576034546,0.7889160513877869,0.9616951942443848,1.2716225385665894,0.24877183139324188,0.9252281188964844,0.8186274766921997,0.9673202633857727,1.087748646736145
13,0.3991219103336334,0.9877647757530212,0.8092909455299377,0.9690301418304443,1.193909764289856,0.25639277696609497,0.8787497282028198,0.8186274766921997,0.9738562107086182,1.0442173480987549
14,0.42777982354164124,0.9631325006484985,0.8068459630012512,0.9616951942443848,1.1822681427001953,0.231989786028862,0.8443155288696289,0.8382353186607361,0.9869281053543091,0.9948788285255432
15,0.42653197050094604,0.9154800176620483,0.8190708756446838,0.9657701849937439,1.1384544372558594,0.2440868318080902,0.8487517237663269,0.8382353186607361,0.9689542651176453,1.0055484771728516
16,0.38155943155288696,0.8580554127693176,0.828035831451416,0.969845175743103,1.0539467334747314,0.2427748441696167,0.7709914445877075,0.843137264251709,0.9787581562995911,0.9264692068099976
17,0.3810131847858429,0.8149833083152771,0.8533007502555847,0.9722901582717896,1.007797122001648,0.2763761579990387,0.8037451505661011,0.7859477400779724,0.970588207244873,0.9795957207679749
18,0.3912467062473297,0.776534378528595,0.8622657060623169,0.9706601500511169,0.9795969724655151,0.22433976829051971,0.7295975089073181,0.8594771027565002,0.9738562107086182,0.8742527961730957
19,0.40337929129600525,0.7586001753807068,0.8467807769775391,0.9731051325798035,0.9578598737716675,0.22250211238861084,0.6823611855506897,0.8496732115745544,0.983660101890564,0.8227850198745728
