epoch,embedding_loss,logits_loss,logits_top1,logits_top3,loss,val_embedding_loss,val_logits_loss,val_logits_top1,val_logits_top3,val_loss
0,0.27636122703552246,2.710841178894043,0.20671305060386658,0.3868194818496704,2.850595235824585,0.3009086847305298,2.4307332038879395,0.3544093072414398,0.5457570552825928,2.5884056091308594
1,0.3880782127380371,2.2681314945220947,0.41342610120773315,0.7114203572273254,2.463381767272949,0.3384173512458801,1.996154546737671,0.5274542570114136,0.8635607361793518,2.1749978065490723
2,0.4175010919570923,1.9484928846359253,0.5583299398422241,0.8469095230102539,2.1608572006225586,0.3678652048110962,1.7312911748886108,0.6306156516075134,0.90183025598526,1.9267594814300537
3,0.3958575129508972,1.7300258874893188,0.6291444897651672,0.8841588497161865,1.9290276765823364,0.342745304107666,1.5319204330444336,0.6755407452583313,0.8951746821403503,1.7149978876113892
4,0.37803804874420166,1.5396872758865356,0.6942284107208252,0.9107654690742493,1.732176661491394,0.3149689733982086,1.353399634361267,0.7354409098625183,0.9317803382873535,1.5219439268112183
5,0.3826332986354828,1.3977755308151245,0.7224723696708679,0.9316413998603821,1.5891796350479126,0.290653795003891,1.214996576309204,0.7753743529319763,0.961730420589447,1.3709877729415894
6,0.3676688075065613,1.2733736038208008,0.7544003129005432,0.9496520757675171,1.4566619396209717,0.289124071598053,1.11614990234375,0.780366063117981,0.960066556930542,1.2710500955581665
7,0.3730562925338745,1.171199917793274,0.781006932258606,0.953745424747467,1.358834147453308,0.2576843202114105,1.0079063177108765,0.8186355829238892,0.9767054915428162,1.1460884809494019
8,0.34876808524131775,1.077738642692566,0.7871469259262085,0.9525173902511597,1.253676176071167,0.26361435651779175,0.9495578408241272,0.8136439323425293,0.9650582075119019,1.0907983779907227
9,0.34777742624282837,0.9930890798568726,0.8018829226493835,0.9656160473823547,1.1660585403442383,0.2561298906803131,0.8841052651405334,0.8386023044586182,0.9650582075119019,1.0210349559783936
10,0.3351846933364868,0.918715238571167,0.8207122683525085,0.9672533869743347,1.0825154781341553,0.2518751621246338,0.7722706198692322,0.8569051623344421,0.9767054915428162,0.9060426354408264
11,0.341284841299057,0.8481699228286743,0.8448628783226013,0.9721653461456299,1.012231469154358,0.2676219046115875,0.7088977694511414,0.8685523867607117,0.980033278465271,0.8500826358795166
12,0.3226313292980194,0.7856809496879578,0.8505935072898865,0.9754400253295898,0.9484274387359619,0.23725751042366028,0.6799158453941345,0.880199670791626,0.980033278465271,0.8059066534042358
13,0.32837939262390137,0.745542049407959,0.8563241958618164,0.9733933806419373,0.9131346940994263,0.22840183973312378,0.6574987173080444,0.8585690259933472,0.9767054915428162,0.778555154800415
14,0.32576313614845276,0.7203007936477661,0.855914831161499,0.9766680598258972,0.8856617212295532,0.231981560587883,0.5865728259086609,0.8652245998382568,0.980033278465271,0.7091957330703735
15,0.326504111289978,0.6901711225509644,0.8538681864738464,0.9742120504379272,0.8531967401504517,0.21822617948055267,0.6025155186653137,0.860232949256897,0.9767054915428162,0.7183441519737244
16,0.3232405483722687,0.6479315161705017,0.8636921644210815,0.9770773649215698,0.8107220530509949,0.2576669454574585,0.5409632325172424,0.8768718838691711,0.981697142124176,0.6763283610343933
17,0.3148399293422699,0.6014048457145691,0.8759721517562866,0.9823986887931824,0.7590746879577637,0.22292739152908325,0.5376836657524109,0.8752079606056213,0.9783693552017212,0.6553510427474976
