fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
1,centroid,1,Ilias,56,0.5357142857142857,0.9821428571428571,1.0
1,centroid,1,Mytikas,39,0.8461538461538461,0.9743589743589743,0.9743589743589743
1,centroid,1,Mytikas_Black,34,0.8529411764705882,0.9411764705882353,1.0
1,centroid,1,Nivalis,34,0.7647058823529411,0.9705882352941176,1.0
1,centroid,1,Ratikon,42,0.8809523809523809,0.9761904761904762,0.9761904761904762
1,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
1,centroid,1,Triton,94,0.7553191489361702,0.9574468085106383,0.9787234042553191
1,centroid,1,Trius,52,0.7307692307692307,0.9807692307692307,0.9807692307692307
1,centroid,1,Trius_Black,35,0.8857142857142857,0.9714285714285714,1.0
1,centroid,1,Turbine,34,0.9411764705882353,0.9705882352941176,0.9705882352941176
1,centroid,1,Vega,34,0.9411764705882353,0.9705882352941176,1.0
1,centroid,1,Velorum,122,0.8934426229508197,0.9918032786885246,1.0
1,centroid,1,Xtreme,34,1.0,1.0,1.0
1,multi_max,1,Alaris,39,0.7948717948717948,0.9230769230769231,1.0
1,multi_max,1,Alcatras,49,0.6530612244897959,0.8367346938775511,0.8775510204081632
1,multi_max,1,Braga,63,0.746031746031746,0.9841269841269841,1.0
1,multi_max,1,Braga_Diamond_Cut_Black,36,0.8333333333333334,0.9722222222222222,1.0
1,multi_max,1,Castor,69,0.855072463768116,0.9710144927536232,0.9855072463768116
1,multi_max,1,Denom,39,0.7948717948717948,1.0,1.0
1,multi_max,1,Gemini,34,0.7941176470588235,0.9411764705882353,0.9705882352941176
1,multi_max,1,Hawk,33,0.9090909090909091,1.0,1.0
1,multi_max,1,Ilias,56,0.5178571428571429,0.9464285714285714,1.0
1,multi_max,1,Mytikas,39,0.8717948717948718,0.9743589743589743,0.9743589743589743
1,multi_max,1,Mytikas_Black,34,0.8529411764705882,0.9411764705882353,0.9705882352941176
1,multi_max,1,Nivalis,34,0.7941176470588235,0.9411764705882353,0.9705882352941176
1,multi_max,1,Ratikon,42,0.8571428571428571,0.9523809523809523,0.9761904761904762
1,multi_max,1,Steel_Wheel,36,1.0,1.0,1.0
1,multi_max,1,Triton,94,0.5425531914893617,0.9468085106382979,0.9787234042553191
1,multi_max,1,Trius,52,0.6346153846153846,0.9230769230769231,0.9807692307692307
1,multi_max,1,Trius_Black,35,0.9142857142857143,0.9714285714285714,1.0
1,multi_max,1,Turbine,34,0.9411764705882353,1.0,1.0
