fold,retrieval_mode,topn,recall@1,recall@3,recall@5,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0,centroid,1,0.9043760129659644,0.9789303079416531,0.9902755267423015,0.9037611831096799,0.893007214276598,0.896611496007064,0.9068649412080728,0.9043760129659644,0.9039461951440673
1,centroid,1,0.8905228758169934,0.9754901960784313,0.9901960784313726,0.8903555867670807,0.8839049207751096,0.8853090485009297,0.8937724380608919,0.8905228758169934,0.8903220561115218
2,centroid,1,0.8590163934426229,0.9622950819672131,0.9885245901639345,0.8525003383018797,0.85097689035553,0.8485564161540904,0.8609014315364418,0.8590163934426229,0.8570602667446959
3,centroid,1,0.8625827814569537,0.9602649006622517,0.9917218543046358,0.8666886819253166,0.8523149586424739,0.8559278851280704,0.8681186419938057,0.8625827814569537,0.8617722734560754
4,centroid,1,0.8735440931780366,0.9816971713810316,0.9950083194675541,0.8751124768446934,0.8685842030222344,0.8698698151113308,0.8767916931353014,0.8735440931780366,0.8733281827665496
