retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.8472266375772687,0.04045809888674808,0.7894179894179894,0.07419868581278545,0.814980085384871,0.04071750897125099,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.7624395604395604,0.04426770828015892,0.7846153846153847,0.057563959796522186,0.772406569465393,0.04343917911602095,26.0,0.0
centroid,1,Braga,5,0.861625939849624,0.054216059544712626,0.812375533428165,0.052211618894217236,0.835023176670774,0.04271098516326346,37.4,0.4898979485566356
centroid,1,Castor,5,0.7937844189554175,0.04178373024720203,0.9497983870967742,0.03175259213324199,0.8633374865951502,0.014645438045688058,31.8,0.4
centroid,1,Denom,5,0.856292360471927,0.05793590967861342,0.8620199146514936,0.05316137943921565,0.8577263605068483,0.045510443461024015,37.6,0.4898979485566356
centroid,1,Gemini,5,0.9114223401119952,0.04883095479913833,0.8968253968253969,0.043566537249182885,0.9035006433119641,0.04033406032619926,27.2,0.39999999999999997
centroid,1,Hawk,5,0.9467236467236468,0.030360266221668864,0.9615384615384615,0.03440104580768905,0.9539884458863371,0.03110452913452004,25.6,0.4898979485566356
centroid,1,Ilias,5,0.8708147455992284,0.09137914097087613,0.8751231527093596,0.04647020255284803,0.8710247585478716,0.058758416494599404,28.8,0.4
centroid,1,Mytikas,5,0.819632370049793,0.06702531053377409,0.6952380952380952,0.08494329586059049,0.7478640243879314,0.05706631585096995,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.8558593453330297,0.06570977275771779,0.7833992094861659,0.054174715317373626,0.8167627494456762,0.0506756625289635,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.8198722860791827,0.045447899099775334,0.8417989417989418,0.028117101070024166,0.8303362725867263,0.033723451595484684,27.8,0.4
centroid,1,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
centroid,1,Triton,5,0.7968480560839549,0.04438933844174271,0.8723270440251574,0.05429890805891841,0.8317621611654046,0.03865279538454934,53.4,0.4898979485566356
centroid,1,Trius,5,0.8596048846048847,0.05706775026935515,0.7484146341463415,0.06210610559495198,0.7991843676630987,0.05401897834012241,40.6,0.4898979485566356
centroid,1,Turbine,5,0.9275132275132275,0.08168736443786362,0.8621693121693121,0.053202893314206946,0.8922826260292567,0.05803517050156044,27.6,0.4898979485566356
centroid,1,Vega,5,0.9230559479339968,0.07230313312557814,0.9714285714285713,0.031298431857438073,0.9459607811089883,0.05270769586086589,35.2,0.4
centroid,1,Velorum,5,0.9674192652080775,0.022809518429454972,0.9864406779661017,0.006779661016949134,0.9766909497809495,0.01209260705548598,59.2,0.4
centroid,1,Xtreme,5,0.9837262840358816,0.013348151319618556,0.968421052631579,0.05102820902543503,0.9754727728411939,0.030976453528104804,38.0,0.0
