retrieval_mode,topn,metric,cv_mean,baseline_val,delta
centroid,1,recall@1,0.8646307349596821,0.5007,0.3639307349596821
centroid,1,recall@3,0.9728044177081342,0.8027,0.17010441770813423
centroid,1,recall@5,0.9896680264628577,0.8912,0.09846802646285768
