fold,retrieval_mode,topn,recall@1,recall@3,recall@5,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0,centroid,1,0.9173419773095624,0.9756888168557536,0.9918962722852512,0.9170457711404959,0.9082239781809833,0.9113261330298007,0.919567907087254,0.9173419773095624,0.9173009655769644
1,centroid,1,0.880718954248366,0.9722222222222222,0.9918300653594772,0.8852414926891304,0.8718868419456073,0.8749969534246262,0.8871272197962944,0.880718954248366,0.8810943346646528
2,centroid,1,0.8622950819672132,0.9639344262295082,0.9901639344262295,0.8549756035643592,0.8561911219742698,0.853680019439708,0.8651349105413924,0.8622950819672132,0.8617575496971294
3,centroid,1,0.8625827814569537,0.9635761589403974,0.9900662251655629,0.8708018650242291,0.8544668074355067,0.8583757493654866,0.8695089085749452,0.8625827814569537,0.861654639887802
4,centroid,1,0.8901830282861897,0.9816971713810316,0.9916805324459235,0.8912205493162849,0.8840231482567771,0.8861947033555206,0.8926415754795328,0.8901830282861897,0.8901500196554537
