retrieval_mode,topn,metric,cv_mean,baseline_val,delta
centroid,1,recall@1,0.8406475329664181,0.5007,0.3399475329664181
centroid,1,recall@3,0.9619251538446355,0.8027,0.15922515384463554
centroid,1,recall@5,0.9869473429330048,0.8912,0.0957473429330048
