fold,retrieval_mode,topn,recall@1,recall@3,recall@5
0,centroid,1,0.8460291734197731,0.9627228525121556,0.9870340356564019
1,centroid,1,0.8464052287581699,0.9689542483660131,0.988562091503268
2,centroid,1,0.8295081967213115,0.9540983606557377,0.9852459016393442
