fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
0,centroid,1,Alaris,28,0.75,0.9285714285714286,0.9642857142857143
0,centroid,1,Alcatras,26,0.6538461538461539,0.9230769230769231,1.0
0,centroid,1,Braga,38,0.8157894736842105,0.8947368421052632,0.9473684210526315
0,centroid,1,Castor,32,0.875,1.0,1.0
0,centroid,1,Denom,38,0.9210526315789473,1.0,1.0
0,centroid,1,Gemini,28,0.8214285714285714,0.9285714285714286,0.9285714285714286
0,centroid,1,Hawk,26,0.9615384615384616,1.0,1.0
0,centroid,1,Ilias,29,0.896551724137931,1.0,1.0
0,centroid,1,Mytikas,28,0.5714285714285714,0.9285714285714286,0.9642857142857143
0,centroid,1,Nivalis,23,0.6521739130434783,0.9130434782608695,1.0
0,centroid,1,Ratikon,28,0.7857142857142857,1.0,1.0
0,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
0,centroid,1,Triton,54,0.8333333333333334,0.9444444444444444,0.9814814814814815
0,centroid,1,Trius,41,0.7560975609756098,0.8780487804878049,0.975609756097561
0,centroid,1,Turbine,28,0.75,0.9642857142857143,1.0
0,centroid,1,Vega,36,0.9166666666666666,1.0,1.0
0,centroid,1,Velorum,60,1.0,1.0,1.0
0,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
1,centroid,1,Alaris,28,0.8571428571428571,0.8928571428571429,0.9642857142857143
1,centroid,1,Alcatras,26,0.7307692307692307,0.9230769230769231,0.9615384615384616
1,centroid,1,Braga,38,0.7894736842105263,1.0,1.0
1,centroid,1,Castor,32,0.875,0.9375,0.9375
1,centroid,1,Denom,38,0.7105263157894737,0.9736842105263158,0.9736842105263158
1,centroid,1,Gemini,27,0.8148148148148148,0.8888888888888888,1.0
1,centroid,1,Hawk,26,0.9230769230769231,0.9615384615384616,0.9615384615384616
1,centroid,1,Ilias,29,0.7241379310344828,1.0,1.0
1,centroid,1,Mytikas,28,0.6071428571428571,0.9642857142857143,1.0
1,centroid,1,Nivalis,22,0.8181818181818182,0.9545454545454546,1.0
1,centroid,1,Ratikon,28,0.8214285714285714,0.9642857142857143,1.0
1,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
1,centroid,1,Triton,54,0.9074074074074074,0.9814814814814815,1.0
1,centroid,1,Trius,41,0.6585365853658537,0.975609756097561,1.0
1,centroid,1,Turbine,28,0.8571428571428571,0.9285714285714286,0.9642857142857143
1,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
1,centroid,1,Velorum,59,1.0,1.0,1.0
1,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
2,centroid,1,Alaris,28,0.7857142857142857,0.9642857142857143,0.9642857142857143
2,centroid,1,Alcatras,26,0.7307692307692307,0.8461538461538461,1.0
2,centroid,1,Braga,37,0.6756756756756757,0.8918918918918919,0.972972972972973
2,centroid,1,Castor,32,0.9375,1.0,1.0
2,centroid,1,Denom,38,0.8421052631578947,1.0,1.0
2,centroid,1,Gemini,27,0.8888888888888888,0.9629629629629629,0.9629629629629629
2,centroid,1,Hawk,26,0.9230769230769231,1.0,1.0
2,centroid,1,Ilias,29,0.7241379310344828,0.9310344827586207,0.9655172413793104
2,centroid,1,Mytikas,28,0.6071428571428571,0.8928571428571429,1.0
2,centroid,1,Nivalis,22,0.7727272727272727,1.0,1.0
2,centroid,1,Ratikon,28,0.6428571428571429,0.9642857142857143,0.9642857142857143
2,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
2,centroid,1,Triton,53,0.8490566037735849,0.8867924528301887,0.9433962264150944
2,centroid,1,Trius,41,0.5853658536585366,0.9024390243902439,0.975609756097561
2,centroid,1,Turbine,28,0.9285714285714286,0.9642857142857143,1.0
2,centroid,1,Vega,35,0.9428571428571428,1.0,1.0
2,centroid,1,Velorum,59,0.9661016949152542,0.9830508474576272,1.0
2,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
