fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
4,centroid,1,Ilias,28,0.8214285714285714,0.9285714285714286,1.0
4,centroid,1,Mytikas,27,0.7037037037037037,1.0,1.0
4,centroid,1,Nivalis,22,0.9545454545454546,1.0,1.0
4,centroid,1,Ratikon,27,0.9629629629629629,1.0,1.0
4,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
4,centroid,1,Triton,53,0.8301886792452831,0.9433962264150944,1.0
4,centroid,1,Trius,40,0.7,0.975,0.975
4,centroid,1,Turbine,27,0.7037037037037037,0.8888888888888888,1.0
4,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
4,centroid,1,Velorum,59,0.9491525423728814,0.9830508474576272,1.0
4,centroid,1,Xtreme,38,1.0,1.0,1.0
