retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.841136476426799,0.05224852654255909,0.7902116402116403,0.06822935448892194,0.8132656162566432,0.04878088500882216,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.728747947454844,0.04093322953642034,0.823076923076923,0.04615384615384617,0.7725706987775953,0.039107420134549674,26.0,0.0
centroid,1,Braga,5,0.8430162630162631,0.04056923131887346,0.7967283072546231,0.06004193116459141,0.8179180279180279,0.040121505746883904,37.4,0.4898979485566356
centroid,1,Castor,5,0.8056768526516755,0.07138318547846337,0.9245967741935484,0.05068229196714237,0.8580176622314379,0.03707038161312299,31.8,0.4
centroid,1,Denom,5,0.8164495864495864,0.04700887900098023,0.878520625889047,0.08382036407984715,0.8454195927529261,0.06060545042291489,37.6,0.4898979485566356
centroid,1,Gemini,5,0.9161103791538574,0.03924208751181076,0.8597883597883598,0.06841578783172322,0.8848831168831168,0.03791225633354232,27.2,0.39999999999999997
centroid,1,Hawk,5,0.9397106227106228,0.047932012413472565,0.9301538461538461,0.028126510478834302,0.9337474600870828,0.022226690886825783,25.6,0.4898979485566356
centroid,1,Ilias,5,0.9351561996779388,0.05609191242044513,0.8263546798029557,0.03785418611514901,0.8754636578664495,0.02378348451747794,28.8,0.4
centroid,1,Mytikas,5,0.8064372294372294,0.08387069965043036,0.6518518518518518,0.06094654770735289,0.7196846922074887,0.06426263458429557,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.9511363636363637,0.07074719280124263,0.766403162055336,0.10713868726118703,0.8431446639524974,0.0676908094731463,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.8383578431372548,0.05264726421254711,0.8997354497354497,0.06900858431582739,0.8649460864448277,0.03437033812927929,27.8,0.4
centroid,1,Steel_Wheel,5,0.9834834834834835,0.01348846527415958,0.9942857142857143,0.011428571428571432,0.9887279204310637,0.00564163386647532,35.2,0.4
centroid,1,Triton,5,0.7737073856777247,0.0718681495875047,0.8426974143955276,0.022327454122341408,0.8051376417748098,0.04289581292217081,53.4,0.4898979485566356
centroid,1,Trius,5,0.8077621342272506,0.07026872396566779,0.6989024390243903,0.0714642470608307,0.7440026640026641,0.035614896086693534,40.6,0.4898979485566356
centroid,1,Turbine,5,0.8756593406593407,0.06693101596750356,0.7965608465608466,0.060768295650592476,0.8297394014997478,0.015844255604774676,27.6,0.4898979485566356
centroid,1,Vega,5,0.9006224848330111,0.05206958699596617,0.9657142857142856,0.03331972511340173,0.9317196030682429,0.04116066852194429,35.2,0.4
centroid,1,Velorum,5,0.9166183977905226,0.04548029117855991,0.9696045197740114,0.01265536723163843,0.941576574815611,0.021222585091103148,59.2,0.4
centroid,1,Xtreme,5,0.9738612368024133,0.015898437580240937,0.9736842105263157,0.05263157894736841,0.9730103230103231,0.029315587433931364,38.0,0.0
