retrieval_mode,topn,metric,cv_mean,baseline_val,delta
centroid,1,recall@1,0.8673151645899834,0.5007,0.36661516458998333
centroid,1,recall@3,0.9749768673724919,0.8027,0.17227686737249193
centroid,1,recall@5,0.9907591368596576,0.8912,0.09955913685965756
