fold,retrieval_mode,topn,label,precision,recall,f1_score,support
0,centroid,1,Alaris,0.84,0.75,0.7924528301886793,28
0,centroid,1,Alcatras,0.7083333333333334,0.6538461538461539,0.68,26
0,centroid,1,Braga,0.8421052631578947,0.8421052631578947,0.8421052631578947,38
0,centroid,1,Castor,0.7317073170731707,0.9375,0.821917808219178,32
0,centroid,1,Denom,0.9166666666666666,0.868421052631579,0.8918918918918919,38
0,centroid,1,Gemini,0.9642857142857143,0.9642857142857143,0.9642857142857143,28
0,centroid,1,Hawk,1.0,0.9615384615384616,0.9803921568627451,26
0,centroid,1,Ilias,0.7878787878787878,0.896551724137931,0.8387096774193549,29
0,centroid,1,Mytikas,0.88,0.7857142857142857,0.8301886792452831,28
0,centroid,1,Nivalis,0.8260869565217391,0.8260869565217391,0.8260869565217391,23
0,centroid,1,Ratikon,0.88,0.7857142857142857,0.8301886792452831,28
0,centroid,1,Steel_Wheel,1.0,1.0,1.0,36
0,centroid,1,Triton,0.8596491228070176,0.9074074074074074,0.8828828828828829,54
0,centroid,1,Trius,0.875,0.8536585365853658,0.8641975308641975,41
0,centroid,1,Turbine,1.0,0.8214285714285714,0.9019607843137255,28
0,centroid,1,Vega,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Velorum,0.9523809523809523,1.0,0.975609756097561,60
0,centroid,1,Xtreme,1.0,1.0,1.0,38
0,centroid,1,macro avg,0.8909481715043471,0.8807921340538549,0.883842887836619,617
0,centroid,1,weighted avg,0.895914190917811,0.893030794165316,0.8926602833781707,617
1,centroid,1,Alaris,0.8275862068965517,0.8571428571428571,0.8421052631578947,28
1,centroid,1,Alcatras,0.8518518518518519,0.8846153846153846,0.8679245283018868,26
1,centroid,1,Braga,0.9428571428571428,0.868421052631579,0.9041095890410958,38
1,centroid,1,Castor,0.90625,0.90625,0.90625,32
1,centroid,1,Denom,0.6976744186046512,0.7894736842105263,0.7407407407407407,38
1,centroid,1,Gemini,0.96,0.8888888888888888,0.9230769230769231,27
1,centroid,1,Hawk,0.9615384615384616,0.9615384615384616,0.9615384615384616,26
1,centroid,1,Ilias,1.0,0.8275862068965517,0.9056603773584906,29
1,centroid,1,Mytikas,0.7333333333333333,0.7857142857142857,0.7586206896551724,28
1,centroid,1,Nivalis,0.9375,0.6818181818181818,0.7894736842105263,22
1,centroid,1,Ratikon,0.71875,0.8214285714285714,0.7666666666666667,28
1,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
1,centroid,1,Triton,0.8448275862068966,0.9074074074074074,0.875,54
1,centroid,1,Trius,0.8157894736842105,0.7560975609756098,0.7848101265822784,41
1,centroid,1,Turbine,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
1,centroid,1,Vega,0.918918918918919,0.9714285714285714,0.9444444444444444,35
1,centroid,1,Velorum,0.9833333333333333,1.0,0.9915966386554622,59
1,centroid,1,Xtreme,1.0,1.0,1.0,38
1,centroid,1,macro avg,0.8923985383437952,0.8797990301815725,0.8837484821602549,612
1,centroid,1,weighted avg,0.8939116739839053,0.8888888888888888,0.889497863122426,612
2,centroid,1,Alaris,0.8666666666666667,0.9285714285714286,0.896551724137931,28
2,centroid,1,Alcatras,0.8,0.7692307692307693,0.7843137254901961,26
2,centroid,1,Braga,0.8571428571428571,0.8108108108108109,0.8333333333333334,37
2,centroid,1,Castor,0.7619047619047619,1.0,0.8648648648648649,32
2,centroid,1,Denom,0.8787878787878788,0.7631578947368421,0.8169014084507042,38
2,centroid,1,Gemini,0.8333333333333334,0.9259259259259259,0.8771929824561403,27
2,centroid,1,Hawk,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
2,centroid,1,Ilias,0.7575757575757576,0.8620689655172413,0.8064516129032258,29
2,centroid,1,Mytikas,0.8,0.7142857142857143,0.7547169811320755,28
2,centroid,1,Nivalis,0.7619047619047619,0.7272727272727273,0.7441860465116279,22
2,centroid,1,Ratikon,0.8148148148148148,0.7857142857142857,0.8,28
2,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
2,centroid,1,Triton,0.88,0.8301886792452831,0.8543689320388349,53
2,centroid,1,Trius,0.8421052631578947,0.7804878048780488,0.810126582278481,41
2,centroid,1,Turbine,0.8846153846153846,0.8214285714285714,0.8518518518518519,28
2,centroid,1,Vega,0.9722222222222222,1.0,0.9859154929577465,35
2,centroid,1,Velorum,0.9354838709677419,0.9830508474576272,0.9586776859504132,59
2,centroid,1,Xtreme,0.9722222222222222,0.9210526315789473,0.9459459459459459,38
2,centroid,1,macro avg,0.863436484355179,0.8636846655406193,0.861582005187794,610
2,centroid,1,weighted avg,0.8723009473283345,0.8704918032786885,0.8694850987837303,610
3,centroid,1,Alaris,0.9166666666666666,0.8148148148148148,0.8627450980392157,27
3,centroid,1,Alcatras,0.75,0.8076923076923077,0.7777777777777778,26
3,centroid,1,Braga,0.8333333333333334,0.6756756756756757,0.746268656716418,37
3,centroid,1,Castor,0.7894736842105263,0.9375,0.8571428571428571,32
3,centroid,1,Denom,0.8648648648648649,0.8648648648648649,0.8648648648648649,37
3,centroid,1,Gemini,0.96,0.8888888888888888,0.9230769230769231,27
3,centroid,1,Hawk,0.96,0.96,0.96,25
3,centroid,1,Ilias,0.7666666666666667,0.7931034482758621,0.7796610169491526,29
3,centroid,1,Mytikas,0.8095238095238095,0.6296296296296297,0.7083333333333334,27
3,centroid,1,Nivalis,0.9444444444444444,0.7727272727272727,0.85,22
3,centroid,1,Ratikon,0.71875,0.8214285714285714,0.7666666666666667,28
