fold,retrieval_mode,topn,label,precision,recall,f1_score,support
4,centroid,1,Alaris,0.7777777777777778,0.7777777777777778,0.7777777777777778,27
4,centroid,1,Alcatras,0.8,0.9230769230769231,0.8571428571428571,26
4,centroid,1,Braga,0.9428571428571428,0.8918918918918919,0.9166666666666666,37
4,centroid,1,Castor,0.8333333333333334,0.967741935483871,0.8955223880597015,31
4,centroid,1,Denom,0.9,0.972972972972973,0.935064935064935,37
4,centroid,1,Gemini,0.9166666666666666,0.8148148148148148,0.8627450980392157,27
4,centroid,1,Hawk,1.0,1.0,1.0,25
4,centroid,1,Ilias,1.0,0.9642857142857143,0.9818181818181818,28
4,centroid,1,Mytikas,0.84,0.7777777777777778,0.8076923076923077,27
4,centroid,1,Nivalis,0.9,0.8181818181818182,0.8571428571428571,22
4,centroid,1,Ratikon,0.9259259259259259,0.9259259259259259,0.9259259259259259,27
4,centroid,1,Steel_Wheel,0.9722222222222222,1.0,0.9859154929577465,35
4,centroid,1,Triton,0.8301886792452831,0.8301886792452831,0.8301886792452831,53
4,centroid,1,Trius,0.7948717948717948,0.775,0.7848101265822784,40
4,centroid,1,Turbine,1.0,0.8148148148148148,0.8979591836734694,27
4,centroid,1,Vega,0.9722222222222222,1.0,0.9859154929577465,35
4,centroid,1,Velorum,0.9661016949152542,0.9661016949152542,0.9661016949152542,59
4,centroid,1,Xtreme,0.95,1.0,0.9743589743589743,38
4,centroid,1,macro avg,0.9067870811132013,0.9011418189536021,0.902374924445621,601
4,centroid,1,weighted avg,0.9068210897994593,0.9051580698835274,0.9046387155367644,601
