fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
0,centroid,1,Alaris,28,0.7142857142857143,0.8571428571428571,0.9285714285714286
0,centroid,1,Alcatras,26,0.7692307692307693,0.9615384615384616,0.9615384615384616
0,centroid,1,Braga,38,0.868421052631579,0.8947368421052632,0.9473684210526315
0,centroid,1,Castor,32,0.9375,1.0,1.0
0,centroid,1,Denom,38,0.9210526315789473,0.9736842105263158,1.0
0,centroid,1,Gemini,28,0.9285714285714286,1.0,1.0
0,centroid,1,Hawk,26,0.9615384615384616,1.0,1.0
0,centroid,1,Ilias,29,0.896551724137931,1.0,1.0
0,centroid,1,Mytikas,28,0.7857142857142857,1.0,1.0
0,centroid,1,Nivalis,23,0.8260869565217391,0.9130434782608695,1.0
0,centroid,1,Ratikon,28,0.9285714285714286,1.0,1.0
0,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
0,centroid,1,Triton,54,0.9259259259259259,0.9629629629629629,0.9814814814814815
0,centroid,1,Trius,41,0.8780487804878049,0.975609756097561,1.0
0,centroid,1,Turbine,28,0.8928571428571429,0.9642857142857143,1.0
0,centroid,1,Vega,36,1.0,1.0,1.0
0,centroid,1,Velorum,60,1.0,1.0,1.0
0,centroid,1,Xtreme,38,1.0,1.0,1.0
1,centroid,1,Alaris,28,0.8571428571428571,0.9285714285714286,1.0
1,centroid,1,Alcatras,26,0.9230769230769231,1.0,1.0
1,centroid,1,Braga,38,0.8421052631578947,0.9736842105263158,0.9736842105263158
1,centroid,1,Castor,32,0.90625,0.9375,0.9375
1,centroid,1,Denom,38,0.868421052631579,0.9736842105263158,0.9736842105263158
1,centroid,1,Gemini,27,0.8888888888888888,0.9629629629629629,0.9629629629629629
1,centroid,1,Hawk,26,0.9230769230769231,1.0,1.0
1,centroid,1,Ilias,29,0.9655172413793104,0.9655172413793104,1.0
1,centroid,1,Mytikas,28,0.8214285714285714,1.0,1.0
1,centroid,1,Nivalis,22,0.7727272727272727,1.0,1.0
1,centroid,1,Ratikon,28,0.9285714285714286,1.0,1.0
1,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
1,centroid,1,Triton,54,0.8888888888888888,0.9629629629629629,1.0
1,centroid,1,Trius,41,0.7804878048780488,0.9512195121951219,1.0
1,centroid,1,Turbine,28,0.8928571428571429,1.0,1.0
1,centroid,1,Vega,35,0.9714285714285714,0.9714285714285714,0.9714285714285714
1,centroid,1,Velorum,59,0.9830508474576272,1.0,1.0
1,centroid,1,Xtreme,38,1.0,1.0,1.0
2,centroid,1,Alaris,28,0.9285714285714286,1.0,1.0
2,centroid,1,Alcatras,26,0.7692307692307693,0.9615384615384616,1.0
2,centroid,1,Braga,37,0.8108108108108109,0.972972972972973,1.0
2,centroid,1,Castor,32,1.0,1.0,1.0
2,centroid,1,Denom,38,0.7894736842105263,1.0,1.0
2,centroid,1,Gemini,27,0.9629629629629629,1.0,1.0
2,centroid,1,Hawk,26,0.9230769230769231,0.9230769230769231,0.9615384615384616
2,centroid,1,Ilias,29,0.8275862068965517,0.9655172413793104,0.9655172413793104
2,centroid,1,Mytikas,28,0.6785714285714286,0.9642857142857143,1.0
2,centroid,1,Nivalis,22,0.7272727272727273,0.9545454545454546,1.0
2,centroid,1,Ratikon,28,0.8214285714285714,0.9642857142857143,0.9642857142857143
2,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
2,centroid,1,Triton,53,0.8113207547169812,0.8867924528301887,0.9245283018867925
2,centroid,1,Trius,41,0.7560975609756098,0.926829268292683,0.975609756097561
2,centroid,1,Turbine,28,0.8214285714285714,0.9642857142857143,1.0
2,centroid,1,Vega,35,0.9428571428571428,1.0,1.0
2,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
2,centroid,1,Xtreme,38,0.8947368421052632,1.0,1.0
3,centroid,1,Alaris,27,0.8518518518518519,0.8518518518518519,0.8888888888888888
3,centroid,1,Alcatras,26,0.8846153846153846,0.8846153846153846,1.0
3,centroid,1,Braga,37,0.8108108108108109,0.918918918918919,1.0
3,centroid,1,Castor,32,0.96875,1.0,1.0
3,centroid,1,Denom,37,0.972972972972973,1.0,1.0
3,centroid,1,Gemini,27,0.8888888888888888,0.9629629629629629,1.0
3,centroid,1,Hawk,25,1.0,1.0,1.0
3,centroid,1,Ilias,29,0.8275862068965517,0.9655172413793104,1.0
3,centroid,1,Mytikas,27,0.6666666666666666,0.9259259259259259,1.0
3,centroid,1,Nivalis,22,0.8181818181818182,1.0,1.0
3,centroid,1,Ratikon,28,0.8214285714285714,1.0,1.0
3,centroid,1,Steel_Wheel,35,0.9714285714285714,0.9714285714285714,0.9714285714285714
3,centroid,1,Triton,53,0.9245283018867925,0.9811320754716981,1.0
3,centroid,1,Trius,40,0.775,0.95,1.0
3,centroid,1,Turbine,27,0.8888888888888888,1.0,1.0
3,centroid,1,Vega,35,0.9428571428571428,0.9714285714285714,0.9714285714285714
3,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
3,centroid,1,Xtreme,38,0.9736842105263158,1.0,1.0
4,centroid,1,Alaris,27,0.7407407407407407,1.0,1.0
4,centroid,1,Alcatras,26,0.7692307692307693,0.9615384615384616,0.9615384615384616
4,centroid,1,Braga,37,0.8648648648648649,1.0,1.0
4,centroid,1,Castor,31,0.967741935483871,0.967741935483871,0.967741935483871
4,centroid,1,Denom,37,0.918918918918919,1.0,1.0
4,centroid,1,Gemini,27,0.8148148148148148,0.9259259259259259,0.9629629629629629
4,centroid,1,Hawk,25,1.0,1.0,1.0
4,centroid,1,Ilias,28,0.8928571428571429,1.0,1.0
4,centroid,1,Mytikas,27,0.7407407407407407,1.0,1.0
4,centroid,1,Nivalis,22,0.8181818181818182,1.0,1.0
4,centroid,1,Ratikon,27,0.8888888888888888,1.0,1.0
4,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
4,centroid,1,Triton,53,0.8113207547169812,0.8867924528301887,0.9245283018867925
4,centroid,1,Trius,40,0.725,1.0,1.0
4,centroid,1,Turbine,27,0.8518518518518519,1.0,1.0
4,centroid,1,Vega,35,0.9714285714285714,1.0,1.0
4,centroid,1,Velorum,59,0.9830508474576272,0.9830508474576272,1.0
4,centroid,1,Xtreme,38,1.0,1.0,1.0
