retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.8579130434782609,0.040063130186445285,0.8185185185185185,0.07953421131899917,0.835476153326052,0.04783791111761067,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.7677641643158883,0.08797129359689654,0.8230769230769232,0.06705998374677959,0.7939559392389581,0.07689615244047646,26.0,0.0
centroid,1,Braga,5,0.8926758071649713,0.030908729042875897,0.839402560455192,0.025030712060966288,0.8649891175942944,0.023976750290680537,37.4,0.4898979485566356
centroid,1,Castor,5,0.8265276777048683,0.05315759784374435,0.9560483870967742,0.03179225170494131,0.8845695753521842,0.02028536601082091,31.8,0.4
centroid,1,Denom,5,0.8704328388538916,0.037117395154358857,0.8941678520625891,0.06191836597496173,0.8815065511880968,0.04450760902604074,37.6,0.4898979485566356
centroid,1,Gemini,5,0.9135652973072327,0.05813804292538674,0.8968253968253969,0.049464532878392566,0.9036697589983211,0.03987324896791305,27.2,0.39999999999999997
centroid,1,Hawk,5,0.9697777777777776,0.04330996520917276,0.9615384615384615,0.03440104580768905,0.9654458009618943,0.03680944490010458,25.6,0.4898979485566356
centroid,1,Ilias,5,0.8964480952245134,0.058549344817165845,0.8820197044334975,0.05143244044861784,0.8885677796022623,0.050005574636388,28.8,0.4
centroid,1,Mytikas,5,0.7985507246376812,0.06218063818338046,0.7386243386243386,0.059770798563413455,0.7634291894574143,0.024604471397423396,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.8857720057720057,0.09234129626650833,0.7924901185770752,0.03766364980101691,0.8352773583006142,0.05863734500528731,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.8491548776893605,0.03905955644489302,0.8777777777777779,0.04823673460007223,0.8621953350809974,0.03182601570870444,27.8,0.4
centroid,1,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
centroid,1,Triton,5,0.8383551617873651,0.05060889686927981,0.872396925227114,0.05160545789358644,0.8532907344238645,0.03344593532421459,53.4,0.4898979485566356
centroid,1,Trius,5,0.8441001104158999,0.07244051331738319,0.7829268292682927,0.05136593472765938,0.8116056537746035,0.05596996179532683,40.6,0.4898979485566356
centroid,1,Turbine,5,0.9538461538461538,0.04485347611419462,0.8695767195767197,0.02859836081223302,0.9093668763102725,0.031199289367110722,27.6,0.4898979485566356
centroid,1,Vega,5,0.9481660231660232,0.06253688108471339,0.9657142857142859,0.02138089935299396,0.9559493496028548,0.03842670537506721,35.2,0.4
centroid,1,Velorum,5,0.9577863339463784,0.023589302006223875,0.9864406779661017,0.006779661016949134,0.9717878780224382,0.014261015788274243,59.2,0.4
centroid,1,Xtreme,5,0.9891575091575092,0.013311579081299794,0.9736842105263157,0.040768245749551756,0.9810373005989446,0.02545518466630087,38.0,0.0
