retrieval_mode,topn,metric,cv_mean,baseline_val,delta
centroid,1,recall@1,0.8918403700101359,0.5007,0.3911403700101359
centroid,1,recall@3,0.9740526577726826,0.8027,0.1713526577726826
centroid,1,recall@5,0.9894862901608483,0.8912,0.09828629016084833
