config_name,description,embedding_dim,learning_rate,triplet_margin,dropout,batch_size,img_size,success,recall@1_mean,recall@1_std,recall@3_mean,recall@3_std,recall@5_mean,recall@5_std,error_msg
baseline,"Baseline: embedding_dim=256, lr=1e-3, triplet_margin=0.2, dropout=0.2",256,0.001,0.2,0.2,32,224,1,0.862430858985876,0.004843821287323992,0.9695399141078377,0.0073940615791331585,0.9869481851719293,0.004817416657080098,
embedding_dim_128,Ablation: embedding_dim=128 (smaller),128,0.001,0.2,0.2,32,224,1,0.854795714225265,0.006471434308233433,0.9690084931836244,0.009327182460938747,0.9885707164929425,0.0035671000709262893,
embedding_dim_512,Ablation: embedding_dim=512 (larger),512,0.001,0.2,0.2,32,224,1,0.8673151645899834,0.007637170016780419,0.9749768673724919,0.009409099980849813,0.9907591368596576,0.003068527623881965,
learning_rate_3e4,Ablation: learning_rate=3e-4 (slower),256,0.0003,0.2,0.2,32,224,1,0.7879154575038944,0.007232990059018164,0.9455797246289706,0.009692674697354657,0.9804192792715508,0.0013951063984592824,
triplet_margin_03,Ablation: triplet_margin=0.3 (larger margin),256,0.001,0.3,0.2,32,224,1,0.8635175555876243,0.0040754354569992,0.9700819484002178,0.006076809295817277,0.9902064891991106,0.004022414560316577,
dropout_03,Ablation: dropout=0.3 (more regularization),256,0.001,0.2,0.3,32,224,1,0.8406475329664181,0.007878196214470458,0.9619251538446355,0.006091064071692789,0.9869473429330048,0.001355215979002422,
batch_size_16,"Ablation: batch_size=16 (smaller batches, sensitivity check)",256,0.001,0.2,0.2,16,224,1,0.8646307349596821,0.010973302054471851,0.9728044177081342,0.006054848175851415,0.9896680264628577,0.002779708958259451,
img_size_192,"Ablation: img_size=192 (smaller resolution, sensitivity check)",256,0.001,0.2,0.2,32,192,1,0.8330469576275097,0.0037019567890183807,0.963020678036487,0.006865154229546306,0.9864026806236366,0.000819108687280809,
