fold,retrieval_mode,topn,label,precision,recall,f1_score,support
2,centroid,1,Alaris,0.8666666666666667,0.9285714285714286,0.896551724137931,28
2,centroid,1,Alcatras,0.8,0.7692307692307693,0.7843137254901961,26
2,centroid,1,Braga,0.8571428571428571,0.8108108108108109,0.8333333333333334,37
2,centroid,1,Castor,0.7619047619047619,1.0,0.8648648648648649,32
2,centroid,1,Denom,0.8787878787878788,0.7631578947368421,0.8169014084507042,38
2,centroid,1,Gemini,0.8333333333333334,0.9259259259259259,0.8771929824561403,27
2,centroid,1,Hawk,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
2,centroid,1,Ilias,0.7575757575757576,0.8620689655172413,0.8064516129032258,29
2,centroid,1,Mytikas,0.8,0.7142857142857143,0.7547169811320755,28
2,centroid,1,Nivalis,0.7619047619047619,0.7272727272727273,0.7441860465116279,22
2,centroid,1,Ratikon,0.8148148148148148,0.7857142857142857,0.8,28
2,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
2,centroid,1,Triton,0.88,0.8301886792452831,0.8543689320388349,53
2,centroid,1,Trius,0.8421052631578947,0.7804878048780488,0.810126582278481,41
2,centroid,1,Turbine,0.8846153846153846,0.8214285714285714,0.8518518518518519,28
2,centroid,1,Vega,0.9722222222222222,1.0,0.9859154929577465,35
2,centroid,1,Velorum,0.9354838709677419,0.9830508474576272,0.9586776859504132,59
2,centroid,1,Xtreme,0.9722222222222222,0.9210526315789473,0.9459459459459459,38
2,centroid,1,macro avg,0.863436484355179,0.8636846655406193,0.861582005187794,610
2,centroid,1,weighted avg,0.8723009473283345,0.8704918032786885,0.8694850987837303,610
