retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.8390130575737773,0.054852472803284806,0.8182539682539682,0.06575338151494597,0.8270844928412986,0.04957370342436115,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.7844853414208253,0.04617239427905137,0.8307692307692308,0.07133552688842851,0.8052455958473832,0.04706622270757689,26.0,0.0
centroid,1,Braga,5,0.9016229522111875,0.05752688316572142,0.8339971550497867,0.05565787190143582,0.8663837573137206,0.055723492191778766,37.4,0.4898979485566356
centroid,1,Castor,5,0.8465937965937966,0.029772633853567074,0.9622983870967742,0.03058009858978002,0.9000740909507046,0.018395506420194656,31.8,0.4
centroid,1,Denom,5,0.8719867235656711,0.040089414597994415,0.8729729729729729,0.06492099091574378,0.872044755623703,0.0499567438942134,37.6,0.4898979485566356
centroid,1,Gemini,5,0.9120879120879122,0.04287044657480886,0.8965608465608466,0.049495650656864995,0.9031089098996101,0.034803718107235655,27.2,0.39999999999999997
centroid,1,Hawk,5,0.9618005698005698,0.023450228117366016,0.9692307692307693,0.02878197989826107,0.9653006630809072,0.02239523313880899,25.6,0.4898979485566356
centroid,1,Ilias,5,0.897983870967742,0.0838438231507909,0.9238916256157635,0.03348666876720659,0.910013334379167,0.05911727831210221,28.8,0.4
centroid,1,Mytikas,5,0.8167631184407795,0.035263498462257264,0.7674603174603174,0.057263980976341104,0.7898839406207827,0.03494327332145981,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.906188660055937,0.08933822854947089,0.7747035573122529,0.02901842662921369,0.8323893065998329,0.03881607440836575,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.8646869514945154,0.06366073298319476,0.9137566137566138,0.0362289006699096,0.8863392001661403,0.03036700328381891,27.8,0.4
centroid,1,Steel_Wheel,5,0.9834834834834835,0.01348846527415958,0.9942857142857143,0.011428571428571432,0.9887279204310637,0.00564163386647532,35.2,0.4
centroid,1,Triton,5,0.8200527243762978,0.06699352147400517,0.872396925227114,0.03311690731305781,0.8438281922704345,0.04228948964291966,53.4,0.4898979485566356
centroid,1,Trius,5,0.8549998580231138,0.05389977075274012,0.8076829268292685,0.06496647192758301,0.8297066140610445,0.053129905530596586,40.6,0.4898979485566356
centroid,1,Turbine,5,0.9525641025641025,0.04579633615254297,0.8473544973544973,0.03723116170672655,0.8963756571811115,0.035213757593659016,27.6,0.4898979485566356
centroid,1,Vega,5,0.9444358644358644,0.04303038243783539,0.9657142857142859,0.041991252733425924,0.954926269948458,0.04218470601809391,35.2,0.4
centroid,1,Velorum,5,0.9767687260798251,0.019956038555656478,0.9796610169491526,0.012683584361945577,0.9781194856951194,0.013678963957823366,59.2,0.4
centroid,1,Xtreme,5,0.9842857142857143,0.020404081224408156,0.9684210526315791,0.0386761538334186,0.9758398314014751,0.023604070448472732,38.0,0.0
