retrieval_mode,topn,metric,cv_mean,baseline_val,delta
centroid,1,recall@1,0.8951475561097956,0.5007,0.39444755610979554
centroid,1,recall@3,0.9743509395830803,0.8027,0.1716509395830803
centroid,1,recall@5,0.9908065138032545,0.8912,0.09960651380325447
