epoch,embedding_loss,logits_loss,logits_top1,logits_top3,loss,val_embedding_loss,val_logits_loss,val_logits_top1,val_logits_top3,val_loss
0,0.2657304108142853,2.7101948261260986,0.19804401695728302,0.41809290647506714,2.8435912132263184,0.08352169394493103,2.4162869453430176,0.3758170008659363,0.5604575276374817,2.4695358276367188
1,0.33715206384658813,2.246999740600586,0.458027720451355,0.7123064398765564,2.4154107570648193,0.10427623987197876,2.0209367275238037,0.47058823704719543,0.7892156839370728,2.0891988277435303
2,0.3306088149547577,1.933066487312317,0.5639771819114685,0.8239609003067017,2.0998566150665283,0.1052561029791832,1.7494980096817017,0.5653594732284546,0.8545751571655273,1.8207486867904663
3,0.3103269040584564,1.7198048830032349,0.6177669167518616,0.8630806803703308,1.8761528730392456,0.11036957055330276,1.5572195053100586,0.5800653696060181,0.8856208920478821,1.6325980424880981
4,0.2716532349586487,1.5487946271896362,0.6487367749214172,0.8981255292892456,1.6834590435028076,0.09255342185497284,1.44658362865448,0.6094771027565002,0.8823529481887817,1.5126891136169434
5,0.2834598124027252,1.409717321395874,0.6976364850997925,0.9152404069900513,1.553063988685608,0.10381419956684113,1.261367678642273,0.7598039507865906,0.9493464231491089,1.332002878189087
6,0.2743193805217743,1.3021918535232544,0.7033414840698242,0.9201303720474243,1.440102219581604,0.09126795083284378,1.1714198589324951,0.7483659982681274,0.9558823704719543,1.234716534614563
7,0.2522910237312317,1.196049690246582,0.7180114388465881,0.9421352744102478,1.3226953744888306,0.09444919973611832,1.0541573762893677,0.8088235259056091,0.9607843160629272,1.117691993713379
8,0.24486874043941498,1.111122965812683,0.7465362548828125,0.9462102651596069,1.2336373329162598,0.08754228055477142,1.021389126777649,0.8039215803146362,0.9558823704719543,1.0802282094955444
9,0.21880216896533966,1.0196019411087036,0.7677261829376221,0.9592502117156982,1.1305577754974365,0.09544944018125534,0.933181643486023,0.8153594732284546,0.9722222089767456,0.9965922832489014
10,0.2307790219783783,0.9498663544654846,0.8019559979438782,0.9584352374076843,1.0649038553237915,0.0864696055650711,0.9605264067649841,0.766339898109436,0.9640522599220276,1.0200893878936768
11,0.21992021799087524,0.8806124329566956,0.8198859095573425,0.9608802199363708,0.9922065138816833,0.08924084156751633,0.8315037488937378,0.7859477400779724,0.9607843160629272,0.8900845646858215
12,0.23456065356731415,0.8309248685836792,0.822330892086029,0.9714751243591309,0.9487917423248291,0.08686318248510361,0.7741555571556091,0.8284313678741455,0.9820261597633362,0.8305464386940002
13,0.19852259755134583,0.7738889455795288,0.8386307954788208,0.9722901582717896,0.8749950528144836,0.09030994027853012,0.7003864645957947,0.8382353186607361,0.9787581562995911,0.7580773234367371
14,0.21501335501670837,0.7460731267929077,0.8370007872581482,0.9706601500511169,0.8545406460762024,0.09142234921455383,0.6979489326477051,0.8496732115745544,0.9787581562995911,0.7557745575904846
15,0.21482083201408386,0.7081480026245117,0.8215159177780151,0.9771801233291626,0.8168699741363525,0.09332238137722015,0.6410213112831116,0.8562091588973999,0.9820261597633362,0.6989588141441345
16,0.20255208015441895,0.6545162796974182,0.8581907153129578,0.9706601500511169,0.7574310898780823,0.09524165093898773,0.6534495949745178,0.8398692607879639,0.9689542651176453,0.7131178379058838
17,0.21415108442306519,0.6437767148017883,0.8541157245635986,0.9779950976371765,0.7509036660194397,0.10074488818645477,0.6428871750831604,0.8218954205513,0.9771241545677185,0.7056745290756226
18,0.20018602907657623,0.6333224177360535,0.8500407338142395,0.9706601500511169,0.7348754405975342,0.08467523753643036,0.5695480704307556,0.8611111044883728,0.9803921580314636,0.622368335723877
19,0.20654740929603577,0.5667971968650818,0.8777506351470947,0.9796251058578491,0.6708483695983887,0.08648370206356049,0.5488435626029968,0.8676470518112183,0.9852941036224365,0.602306067943573
