fold,retrieval_mode,topn,label,precision,recall,f1_score,support
2,centroid,1,Alaris,0.896551724137931,0.9285714285714286,0.9122807017543859,28
2,centroid,1,Alcatras,0.7096774193548387,0.8461538461538461,0.7719298245614035,26
2,centroid,1,Braga,0.9393939393939394,0.8378378378378378,0.8857142857142857,37
2,centroid,1,Castor,0.8648648648648649,1.0,0.927536231884058,32
2,centroid,1,Denom,0.8333333333333334,0.7894736842105263,0.8108108108108109,38
2,centroid,1,Gemini,0.8333333333333334,0.9259259259259259,0.8771929824561403,27
2,centroid,1,Hawk,0.96,0.9230769230769231,0.9411764705882353,26
2,centroid,1,Ilias,0.8387096774193549,0.896551724137931,0.8666666666666667,29
2,centroid,1,Mytikas,0.875,0.75,0.8076923076923077,28
2,centroid,1,Nivalis,0.7391304347826086,0.7727272727272727,0.7555555555555555,22
2,centroid,1,Ratikon,0.9230769230769231,0.8571428571428571,0.8888888888888888,28
2,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
2,centroid,1,Triton,0.8823529411764706,0.8490566037735849,0.8653846153846154,53
2,centroid,1,Trius,0.8372093023255814,0.8780487804878049,0.8571428571428571,41
2,centroid,1,Turbine,0.8846153846153846,0.8214285714285714,0.8518518518518519,28
2,centroid,1,Vega,0.9714285714285714,0.9714285714285714,0.9714285714285714,35
2,centroid,1,Velorum,0.95,0.9661016949152542,0.957983193277311,59
2,centroid,1,Xtreme,0.9714285714285714,0.8947368421052632,0.9315068493150684,38
2,centroid,1,macro avg,0.8838948011484281,0.8837923646624222,0.8822634813873896,610
2,centroid,1,weighted avg,0.8915875198307489,0.8885245901639345,0.8886400393428115,610
