retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.8549353759844645,0.04309769622621324,0.8402116402116402,0.08724304594851971,0.8448187609402078,0.050901750887944686,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.8088028293545534,0.07299693867256483,0.8307692307692308,0.052171769100963605,0.819164668110284,0.06110650983445851,26.0,0.0
centroid,1,Braga,5,0.8930842607313195,0.026341325150005788,0.8448079658605975,0.020840109896799363,0.8681317613194903,0.020711151748152714,37.4,0.4898979485566356
centroid,1,Castor,5,0.8474503179650238,0.04089494259229507,0.9560483870967742,0.03179225170494131,0.89702669275879,0.01014376875393364,31.8,0.4
centroid,1,Denom,5,0.8899153572452674,0.025974608402393205,0.9046941678520627,0.056400734375994355,0.8966639335060389,0.037217568878632486,37.6,0.4898979485566356
centroid,1,Gemini,5,0.9311640211640212,0.036767850189209875,0.8894179894179894,0.041065836850650295,0.9093706293706294,0.033687427619187915,27.2,0.39999999999999997
centroid,1,Hawk,5,0.96208547008547,0.04058918836334417,0.9615384615384615,0.03440104580768905,0.9616750618970376,0.03604291206450446,25.6,0.4898979485566356
centroid,1,Ilias,5,0.9196312260536399,0.05595194907459925,0.9096059113300493,0.0470153109859618,0.9133112927729483,0.038927878637668986,28.8,0.4
centroid,1,Mytikas,5,0.8210151432220398,0.0743233577578523,0.76005291005291,0.05325022919820143,0.7864533652253654,0.043263741386998136,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.9127272727272727,0.05569990429832869,0.8375494071146246,0.037317779452718323,0.873059498640894,0.04159980775861848,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.8683680687128964,0.04624369141510033,0.8923280423280424,0.05014326777053021,0.8795932708818371,0.04300000919363956,27.8,0.4
centroid,1,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
centroid,1,Triton,5,0.8392278355682137,0.04112998736873158,0.8875611460517121,0.03179433420626692,0.8619908191647321,0.027246425892658473,53.4,0.4898979485566356
centroid,1,Trius,5,0.8424155978180746,0.053779076259667685,0.8026829268292683,0.04492143978690193,0.821162792348548,0.040794501600625796,40.6,0.4898979485566356
centroid,1,Turbine,5,0.9615156695156696,0.042142930880048286,0.8693121693121693,0.04407283546599551,0.912347746094377,0.03476195472514847,27.6,0.4898979485566356
centroid,1,Vega,5,0.9391884321296086,0.06483688820155424,0.9714285714285715,0.01807015805810503,0.9537594269934949,0.03655509471895573,35.2,0.4
centroid,1,Velorum,5,0.9638232842456237,0.015927076737025078,0.9864406779661017,0.006779661016949134,0.9749572769295419,0.01051873145256792,59.2,0.4
centroid,1,Xtreme,5,0.9891575091575092,0.013311579081299794,0.9736842105263157,0.040768245749551756,0.9810373005989446,0.02545518466630087,38.0,0.0
multi_max,1,Alaris,5,0.832969435736677,0.09633086420321775,0.7888888888888889,0.08619062235071943,0.807218045112782,0.07533880418150328,27.6,0.4898979485566356
multi_max,1,Alcatras,5,0.7459249084249084,0.10049843745541463,0.7538461538461539,0.07919715493066923,0.7461897983541417,0.07065502236258471,26.0,0.0
multi_max,1,Braga,5,0.8279086183110952,0.04526936568440165,0.8128022759601707,0.017266527622238705,0.8199850615003392,0.029619760722369545,37.4,0.4898979485566356
multi_max,1,Castor,5,0.8189077622514155,0.052815035767254014,0.9304435483870968,0.03770215197130569,0.8707257448433919,0.043739753146792466,31.8,0.4
multi_max,1,Denom,5,0.8443684829731343,0.04825578080553207,0.888904694167852,0.060511897094616525,0.8655466950203792,0.050722095368315595,37.6,0.4898979485566356
multi_max,1,Gemini,5,0.9313289783679588,0.023647220805064924,0.8746031746031745,0.06064147632547896,0.9003697478991597,0.026167697219711284,27.2,0.39999999999999997
multi_max,1,Hawk,5,0.9482600732600733,0.06590607871617823,0.9384615384615385,0.05217176910096361,0.9424488017429195,0.052481690536970785,25.6,0.4898979485566356
multi_max,1,Ilias,5,0.8879386085837698,0.019172639742165317,0.888423645320197,0.06804273565642183,0.8874244462380055,0.04307548123316482,28.8,0.4
multi_max,1,Mytikas,5,0.7017857142857143,0.054772063291304914,0.758994708994709,0.11111866943302122,0.7251857484175985,0.0647930827460631,27.6,0.4898979485566356
multi_max,1,Nivalis,5,0.8651924277095902,0.0465493557172153,0.8114624505928854,0.0810960860283457,0.836017316017316,0.05732255622448478,22.2,0.39999999999999997
multi_max,1,Ratikon,5,0.8563636363636364,0.0815956569902432,0.8851851851851851,0.08241664279400264,0.8663328870508662,0.05827350593059755,27.8,0.4
multi_max,1,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
multi_max,1,Triton,5,0.8273504079653675,0.07483229925299917,0.8163522012578616,0.03299813738839682,0.8206759200947173,0.048362544414626917,53.4,0.4898979485566356
multi_max,1,Trius,5,0.8292384914626002,0.04088021408924364,0.7289024390243903,0.023645960952422194,0.7749815644627553,0.018033919481276892,40.6,0.4898979485566356
multi_max,1,Turbine,5,0.8762392601013289,0.045634545869272465,0.855026455026455,0.0025920526378657694,0.8649369755625962,0.02200262148471085,27.6,0.4898979485566356
multi_max,1,Vega,5,0.9432765359594628,0.05966022562505878,0.96,0.029137254363387353,0.9501098793447739,0.03141172948380163,35.2,0.4
multi_max,1,Velorum,5,0.9764406779661016,0.013504597666285797,0.9729378531073445,0.008373026219230681,0.9746170519639767,0.007580385155419511,59.2,0.4
multi_max,1,Xtreme,5,0.9840293040293041,0.01308384709110965,0.9736842105263157,0.040768245749551756,0.978439898001542,0.024009266920323104,38.0,0.0
multi_topn_avg,3,Alaris,5,0.8424750733137829,0.04884966273731104,0.8037037037037038,0.09750965322005528,0.8197302155138008,0.06313649045042294,27.6,0.4898979485566356
multi_topn_avg,3,Alcatras,5,0.8046503496503498,0.09968025560326568,0.8615384615384615,0.03076923076923075,0.8295536930113201,0.06050494605445451,26.0,0.0
multi_topn_avg,3,Braga,5,0.902521292300704,0.04119776318141534,0.8287339971550498,0.02255598821384329,0.8637474463617121,0.027468015041958144,37.4,0.4898979485566356
multi_topn_avg,3,Castor,5,0.8504641671746935,0.04469956065674248,0.9497983870967742,0.03175259213324199,0.8965089923055529,0.02710777429996212,31.8,0.4
multi_topn_avg,3,Denom,5,0.8534615384615385,0.03717418176116452,0.8994310099573258,0.050652099529365446,0.8757838652575496,0.04333049900534642,37.6,0.4898979485566356
multi_topn_avg,3,Gemini,5,0.9269673514890906,0.033521631174719735,0.8968253968253969,0.049464532878392566,0.9099178861522457,0.01696999757269655,27.2,0.39999999999999997
multi_topn_avg,3,Hawk,5,0.9417992926613618,0.05913475352362165,0.9538461538461538,0.04485347611419462,0.946931578225696,0.04556493742492013,25.6,0.4898979485566356
multi_topn_avg,3,Ilias,5,0.9253703703703703,0.062809180390206,0.9024630541871922,0.0675002685042784,0.9120497318059506,0.05164672656254534,28.8,0.4
multi_topn_avg,3,Mytikas,5,0.7754210875331565,0.06006845433163668,0.7738095238095238,0.09691354012705927,0.7698314634438364,0.05574360283679667,27.6,0.4898979485566356
multi_topn_avg,3,Nivalis,5,0.907280701754386,0.08246061951253393,0.8114624505928854,0.08604081270018654,0.8527968049547529,0.0631439349675756,22.2,0.39999999999999997
multi_topn_avg,3,Ratikon,5,0.8873210123210123,0.07999162562349225,0.8920634920634921,0.045203272590152846,0.8872605145848743,0.04791917522599202,27.8,0.4
multi_topn_avg,3,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
multi_topn_avg,3,Triton,5,0.8569700767561279,0.05432797994436629,0.8727463312368972,0.056939416050735055,0.8629394965968356,0.040363323743988835,53.4,0.4898979485566356
multi_topn_avg,3,Trius,5,0.8696384316058008,0.07733701405729831,0.8073170731707316,0.06119958863438907,0.8345661910124946,0.05321073364163816,40.6,0.4898979485566356
multi_topn_avg,3,Turbine,5,0.9403516483516483,0.04819747648502163,0.8769841269841269,0.016265001215808903,0.9071132016747999,0.02833895415306325,27.6,0.4898979485566356
multi_topn_avg,3,Vega,5,0.9509438009438009,0.0717644632632421,0.9771428571428572,0.02138089935299396,0.9622858455217145,0.04002747403772146,35.2,0.4
multi_topn_avg,3,Velorum,5,0.9668306010928962,0.018110117350349494,0.9830508474576272,0.010719585288706377,0.9748459383753503,0.014028440762702097,59.2,0.4
multi_topn_avg,3,Xtreme,5,0.9841880341880342,0.01293397089779621,0.9789473684210528,0.0306892204991858,0.9813277173277173,0.018404743133974596,38.0,0.0
