retrieval_mode,topn,folds,mean_recall@1,std_recall@1,mean_recall@3,std_recall@3,mean_recall@5,std_recall@5,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std
centroid,1,5,0.9013733805487757,0.009264036864349588,0.9750325445861904,0.005166999757934169,0.991134991354038,0.0016493444977348842,0.9021640064513952,0.009263517858872162,0.8951344183317907,0.008728606398237098,0.8971560469677818,0.008844549888629203,0.903683371082647,0.009029891662630548,0.9013733805487757,0.009264036864349588,0.9011491337351527,0.009363935161690666
multi_max,1,5,0.8737522304858121,0.01561648031847387,0.9783001437448288,0.0036189429036919776,0.9898110206769488,0.002423738258416981,0.8717759871220323,0.01774452244651908,0.8685113965353295,0.016831749663696265,0.8680827849718986,0.016965187975374545,0.8772788698893874,0.016035620402128702,0.8737522304858121,0.01561648031847387,0.8736480429488905,0.01560723709049173
multi_topn_avg,3,5,0.8984152617297436,0.00965543812506828,0.9776530083426698,0.0058028314661998665,0.9894928528849007,0.0022026528120587443,0.8989499596896222,0.007030825609445955,0.8924527749708314,0.008595737818142813,0.8934152849996175,0.007982874733027645,0.9022882299324639,0.008303091102343571,0.8984152617297436,0.00965543812506828,0.8982937310411486,0.009490404173081633
