fold,retrieval_mode,topn,label,precision,recall,f1_score,support
0,centroid,1,Alaris,0.8695652173913043,0.7142857142857143,0.7843137254901961,28
0,centroid,1,Alcatras,0.6896551724137931,0.7692307692307693,0.7272727272727273,26
0,centroid,1,Braga,0.8918918918918919,0.868421052631579,0.88,38
0,centroid,1,Castor,0.8823529411764706,0.9375,0.9090909090909091,32
0,centroid,1,Denom,0.9230769230769231,0.9473684210526315,0.935064935064935,38
0,centroid,1,Gemini,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
0,centroid,1,Hawk,0.9615384615384616,0.9615384615384616,0.9615384615384616,26
0,centroid,1,Ilias,0.9,0.9310344827586207,0.9152542372881356,29
0,centroid,1,Mytikas,0.7857142857142857,0.7857142857142857,0.7857142857142857,28
0,centroid,1,Nivalis,1.0,0.8695652173913043,0.9302325581395349,23
0,centroid,1,Ratikon,0.9310344827586207,0.9642857142857143,0.9473684210526315,28
0,centroid,1,Steel_Wheel,1.0,1.0,1.0,36
0,centroid,1,Triton,0.8448275862068966,0.9074074074074074,0.875,54
0,centroid,1,Trius,0.9,0.8780487804878049,0.8888888888888888,41
0,centroid,1,Turbine,1.0,0.8928571428571429,0.9433962264150944,28
0,centroid,1,Vega,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Velorum,0.9836065573770492,1.0,0.9917355371900827,60
0,centroid,1,Xtreme,1.0,1.0,1.0,38
0,centroid,1,macro avg,0.9166221919712016,0.9086571599007147,0.9114792682479691,617
0,centroid,1,weighted avg,0.9192528496940096,0.9173419773095624,0.9173266401256074,617
0,multi_max,1,Alaris,0.875,0.75,0.8076923076923077,28
0,multi_max,1,Alcatras,0.7142857142857143,0.7692307692307693,0.7407407407407407,26
0,multi_max,1,Braga,0.7948717948717948,0.8157894736842105,0.8051948051948052,38
0,multi_max,1,Castor,0.8823529411764706,0.9375,0.9090909090909091,32
0,multi_max,1,Denom,0.8717948717948718,0.8947368421052632,0.8831168831168831,38
0,multi_max,1,Gemini,0.9285714285714286,0.9285714285714286,0.9285714285714286,28
