brand,model,generation,year_from,year_to,pcd,cb,bolt_count,thread_size,center_bore_mm,diameter_min_in,diameter_max_in,width_min_j,width_max_j,et_min,et_max,notes,source_type,source_page,extraction_confidence,needs_manual_review
Skoda,Octavia,Mk1 A4 (1U),1996,2004,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,6.0,7.0,38.0,42.0,aggregated_from_modifications=5 | modification_names=1.6i | 1.8i | 1.9D | 1.9TDI | tables_parsed=5 | rim_rows_parsed=15 | merged_from_urls=1 | merged_existing=true,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/1996/,0.9,False
Skoda,Octavia,Mk2 A5 (1Z),2005,2012,5x112,57.1,5,M14 x 1.5,57.1,15.0,18.0,6.0,7.5,47.0,54.0,aggregated_from_modifications=10 | modification_names=1.2TSI | 1.4MPI | 1.4TSI | 1.6MPI | 1.6TDI | 1.8TFSI | 1.8TSI | 2.0TDI | 2.0TSI | tables_parsed=10 | rim_rows_parsed=29 | merged_from_urls=1 | merged_existing=true,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/2012/,0.9,False
