fold,retrieval_mode,topn,label,precision,recall,f1_score,support
0,centroid,1,Alaris,0.7692307692307693,0.7142857142857143,0.7407407407407407,28
0,centroid,1,Alcatras,0.6875,0.8461538461538461,0.7586206896551724,26
0,centroid,1,Braga,0.825,0.868421052631579,0.8461538461538461,38
0,centroid,1,Castor,0.7692307692307693,0.9375,0.8450704225352113,32
0,centroid,1,Denom,0.8205128205128205,0.8421052631578947,0.8311688311688312,38
0,centroid,1,Gemini,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
0,centroid,1,Hawk,1.0,0.9230769230769231,0.96,26
0,centroid,1,Ilias,0.8333333333333334,0.8620689655172413,0.847457627118644,29
0,centroid,1,Mytikas,0.9090909090909091,0.7142857142857143,0.8,28
0,centroid,1,Nivalis,1.0,0.6956521739130435,0.8205128205128205,23
0,centroid,1,Ratikon,0.84375,0.9642857142857143,0.9,28
0,centroid,1,Steel_Wheel,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Triton,0.8703703703703703,0.8703703703703703,0.8703703703703703,54
0,centroid,1,Trius,0.8611111111111112,0.7560975609756098,0.8051948051948052,41
0,centroid,1,Turbine,0.875,0.75,0.8076923076923077,28
0,centroid,1,Vega,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Velorum,0.90625,0.9666666666666667,0.9354838709677419,60
0,centroid,1,Xtreme,1.0,1.0,1.0,38
0,centroid,1,macro avg,0.8821827217660552,0.8688634107717637,0.871473534293948,617
0,centroid,1,weighted avg,0.8833097536906289,0.8784440842787682,0.8776293189282003,617
