fold,retrieval_mode,topn,label,precision,recall,f1_score,support
1,centroid,1,Alaris,0.8275862068965517,0.8571428571428571,0.8421052631578947,28
1,centroid,1,Alcatras,0.8518518518518519,0.8846153846153846,0.8679245283018868,26
1,centroid,1,Braga,0.9428571428571428,0.868421052631579,0.9041095890410958,38
1,centroid,1,Castor,0.90625,0.90625,0.90625,32
1,centroid,1,Denom,0.6976744186046512,0.7894736842105263,0.7407407407407407,38
1,centroid,1,Gemini,0.96,0.8888888888888888,0.9230769230769231,27
1,centroid,1,Hawk,0.9615384615384616,0.9615384615384616,0.9615384615384616,26
1,centroid,1,Ilias,1.0,0.8275862068965517,0.9056603773584906,29
1,centroid,1,Mytikas,0.7333333333333333,0.7857142857142857,0.7586206896551724,28
1,centroid,1,Nivalis,0.9375,0.6818181818181818,0.7894736842105263,22
1,centroid,1,Ratikon,0.71875,0.8214285714285714,0.7666666666666667,28
1,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
1,centroid,1,Triton,0.8448275862068966,0.9074074074074074,0.875,54
1,centroid,1,Trius,0.8157894736842105,0.7560975609756098,0.7848101265822784,41
1,centroid,1,Turbine,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
1,centroid,1,Vega,0.918918918918919,0.9714285714285714,0.9444444444444444,35
1,centroid,1,Velorum,0.9833333333333333,1.0,0.9915966386554622,59
1,centroid,1,Xtreme,1.0,1.0,1.0,38
1,centroid,1,macro avg,0.8923985383437952,0.8797990301815725,0.8837484821602549,612
1,centroid,1,weighted avg,0.8939116739839053,0.8888888888888888,0.889497863122426,612
