epoch,embedding_loss,logits_loss,logits_top1,logits_top3,loss,val_embedding_loss,val_logits_loss,val_logits_top1,val_logits_top3,val_loss
0,0.27833476662635803,2.798967123031616,0.14484451711177826,0.3265139162540436,2.9455461502075195,0.19003508985042572,2.6974704265594482,0.15883305668830872,0.4440842866897583,2.800398349761963
1,0.2922518253326416,2.5800039768218994,0.29541733860969543,0.4975450038909912,2.731675863265991,0.3639637529850006,2.3825345039367676,0.35494327545166016,0.5656402111053467,2.58363938331604
2,0.3900753855705261,2.327425956726074,0.40098199248313904,0.6612111330032349,2.5266623497009277,0.333973228931427,2.164393901824951,0.42625609040260315,0.7115073204040527,2.353969097137451
3,0.40619686245918274,2.131380081176758,0.48772504925727844,0.7635024785995483,2.3397040367126465,0.34516745805740356,1.9927819967269897,0.4797406792640686,0.7925445437431335,2.1911709308624268
4,0.4088078737258911,1.977247953414917,0.5466448664665222,0.8248772621154785,2.1941933631896973,0.28442856669425964,1.8702738285064697,0.5105348229408264,0.8087520003318787,2.037200689315796
5,0.37345147132873535,1.855029821395874,0.5671030879020691,0.844517171382904,2.056030750274658,0.3003915548324585,1.7136518955230713,0.6564019322395325,0.8897892832756042,1.8939706087112427
6,0.4089502692222595,1.7557950019836426,0.6121112704277039,0.8731587529182434,1.9605733156204224,0.31975871324539185,1.6065698862075806,0.6320907473564148,0.8978930115699768,1.7989720106124878
7,0.3860415816307068,1.655696988105774,0.6481178402900696,0.9099836349487305,1.8491982221603394,0.3012385368347168,1.5320146083831787,0.6223663091659546,0.8881685733795166,1.714156985282898
8,0.3732368052005768,1.5683274269104004,0.6734861135482788,0.9099836349487305,1.7544317245483398,0.32396867871284485,1.4188106060028076,0.7163695096969604,0.9157212376594543,1.6137583255767822
9,0.379386305809021,1.4828559160232544,0.7119476199150085,0.9320785403251648,1.660325288772583,0.2877201437950134,1.391688585281372,0.6823338866233826,0.9254456758499146,1.564041256904602
10,0.37527021765708923,1.4091970920562744,0.7340425252914429,0.9345335364341736,1.6010581254959106,0.2851899266242981,1.2847970724105835,0.7277147769927979,0.936790943145752,1.4575661420822144
11,0.34640395641326904,1.3443844318389893,0.7536824941635132,0.9418985247612,1.5174976587295532,0.3113749623298645,1.2309021949768066,0.7487844228744507,0.9384116530418396,1.416398525238037
12,0.37912362813949585,1.2835782766342163,0.7520458102226257,0.950900137424469,1.4687190055847168,0.3005126714706421,1.1570154428482056,0.7795786261558533,0.9481361508369446,1.3381441831588745
13,0.34960615634918213,1.2129446268081665,0.7790507078170776,0.9492635130882263,1.3968167304992676,0.29593273997306824,1.1154224872589111,0.7747163772583008,0.9578605890274048,1.2911616563796997
14,0.34008342027664185,1.1585949659347534,0.7954173684120178,0.9582651257514954,1.335634708404541,0.326516330242157,1.0689982175827026,0.7585089206695557,0.9448946714401245,1.2603648900985718
15,0.3316628336906433,1.1031780242919922,0.8085106611251831,0.9607201218605042,1.2739464044570923,0.307865172624588,1.043331503868103,0.7698541283607483,0.9481361508369446,1.2261803150177002
16,0.33749932050704956,1.0594772100448608,0.7962356805801392,0.957446813583374,1.2352625131607056,0.2944432199001312,0.9702354669570923,0.8217179775238037,0.9659643173217773,1.1423174142837524
17,0.3279462456703186,1.010366439819336,0.8265138864517212,0.9639934301376343,1.180240273475647,0.3063895106315613,0.9215934872627258,0.8379254341125488,0.9611021280288696,1.097967505455017
18,0.3168950080871582,0.9570426940917969,0.8436988592147827,0.9713584184646606,1.1238247156143188,0.3355766534805298,0.8798558115959167,0.8330631852149963,0.9627228379249573,1.0715218782424927
19,0.29012271761894226,0.9070048928260803,0.8396071791648865,0.9729951024055481,1.0601246356964111,0.3192805349826813,0.8627822995185852,0.8395462036132812,0.9578605890274048,1.0467677116394043
