config_name,description,embedding_dim,learning_rate,triplet_margin,dropout,batch_size,img_size,success,recall@1_mean,recall@1_std,recall@3_mean,recall@3_std,recall@5_mean,recall@5_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std,error_msg
baseline,"Baseline: embedding_dim=256, lr=1e-3, triplet_margin=0.2, dropout=0.2",256,0.001,0.2,0.2,32,224,1,0.882624364653657,0.020401085288893676,0.9714237591257827,0.0069576748418352825,0.9911274059364888,0.0008300863379284408,0.8838570563468998,0.02079521491905384,0.874958379558629,0.01985103983108957,0.8769147117230285,0.020772510723248375,0.8867961042958837,0.019371756140286297,0.882624364653657,0.020401085288893676,0.8823915018964005,0.020670391019207816,
embedding_dim_128,Ablation: embedding_dim=128 (smaller),128,0.001,0.2,0.2,32,224,1,0.8918403700101359,0.017311106038335897,0.9740526577726826,0.005638499975975565,0.9894862901608483,0.001683733691508375,0.8919132248161237,0.018734877662029154,0.8847508556417271,0.016400250289176025,0.8864669388722766,0.017704786888595975,0.894939172244572,0.01697416618121803,0.8918403700101359,0.017311106038335897,0.8916664724100187,0.0174560382879375,
embedding_dim_512,Ablation: embedding_dim=512 (larger),512,0.001,0.2,0.2,32,224,1,0.8855968571048105,0.018335141096325377,0.9743817167309764,0.006465971330885121,0.9901356325540522,0.0015202843734450611,0.8871771667232611,0.018253394663859925,0.8789659656834864,0.018657855613078735,0.8806591881419672,0.01888553352710943,0.8893610436441662,0.01744802451730031,0.8855968571048105,0.018335141096325377,0.885250155308192,0.018638708718224047,
learning_rate_3e4,Ablation: learning_rate=3e-4 (slower),256,0.0003,0.2,0.2,32,224,1,0.8793765243274375,0.01330652975056455,0.9700813879290535,0.008649317293919356,0.990814147994145,0.002193839593093096,0.8808155503287018,0.013295525554062836,0.8706827483824966,0.013208675767606573,0.8730154917369116,0.013685605947592149,0.8842982649177598,0.011828318689357952,0.8793765243274375,0.01330652975056455,0.8792210398726997,0.013598940980626969,
triplet_margin_03,Ablation: triplet_margin=0.3 (larger margin),256,0.001,0.3,0.2,32,224,1,0.8845954587261182,0.020217354161624033,0.9720784253638627,0.006683035032066315,0.9914542033221098,0.0012551828465363374,0.8856533603259449,0.020650838034782765,0.877343734517711,0.019483567699249662,0.8790437163038026,0.020482567420597696,0.8886111032946605,0.01950663351751146,0.8845954587261182,0.020217354161624033,0.8843285771116971,0.020623773255729845,
dropout_03,Ablation: dropout=0.3 (more regularization),256,0.001,0.2,0.3,32,224,1,0.8780084313721142,0.01714898932534359,0.9717355316061163,0.008784008680075998,0.9911452738219596,0.0021808705335473314,0.8776836533897301,0.017901481262498076,0.8697576374143893,0.01672739610257399,0.8712549321802969,0.017846753570790706,0.8812898291869027,0.016848157394587872,0.8780084313721142,0.01714898932534359,0.877285794844582,0.017584795012167923,
batch_size_16,"Ablation: batch_size=16 (smaller batches, sensitivity check)",256,0.001,0.2,0.2,16,224,1,0.8951475561097956,0.013858526486350503,0.9743509395830803,0.008905498774888332,0.9908065138032545,0.0012758163946301065,0.895544634858951,0.012285310773023314,0.8888562146150504,0.014074576693425307,0.8902995565728865,0.013414863932010995,0.8981850833961786,0.012131940937139289,0.8951475561097956,0.013858526486350503,0.8949787108814371,0.013513609173407196,
img_size_192,"Ablation: img_size=192 (smaller resolution, sensitivity check)",256,0.001,0.2,0.2,32,192,1,0.8626583094423845,0.013457490979505108,0.9687823375306021,0.008803319650373552,0.9904827541009695,0.005724359828429936,0.869647234845899,0.014378380177850593,0.8549372805719262,0.01514128361620615,0.8579430779989197,0.015540644467995477,0.8680575917023923,0.013785713283898372,0.8626583094423845,0.013457490979505108,0.8613982616331779,0.01452771367811364,
