epoch,embedding_loss,logits_loss,logits_top1,logits_top3,loss,val_embedding_loss,val_logits_loss,val_logits_top1,val_logits_top3,val_loss
0,0.3863067626953125,2.678151845932007,0.22868852317333221,0.45942622423171997,2.871711015701294,0.3305096924304962,2.3601067066192627,0.33112582564353943,0.6142383813858032,2.5305447578430176
1,0.5014747381210327,2.1421573162078857,0.45368853211402893,0.75,2.3964242935180664,0.366804838180542,1.8706923723220825,0.503311276435852,0.804635763168335,2.060964584350586
2,0.4874938726425171,1.7990320920944214,0.5655737519264221,0.8651639223098755,2.0449142456054688,0.3518124520778656,1.5925838947296143,0.6556291580200195,0.8956953883171082,1.7755100727081299
3,0.4852677881717682,1.547727346420288,0.6688524484634399,0.9016393423080444,1.7951607704162598,0.35749125480651855,1.4043954610824585,0.6788079738616943,0.9139072895050049,1.5903675556182861
4,0.46672311425209045,1.3605506420135498,0.716803252696991,0.925000011920929,1.599238634109497,0.3600480556488037,1.204998254776001,0.7615894079208374,0.943708598613739,1.3919082880020142
5,0.43205738067626953,1.2104527950286865,0.7471311688423157,0.9430328011512756,1.426107406616211,0.3601591885089874,1.1018478870391846,0.807947039604187,0.942052960395813,1.2883847951889038
6,0.4461734890937805,1.0852587223052979,0.7799180150032043,0.9561475515365601,1.3091800212860107,0.3494344651699066,1.0069458484649658,0.806291401386261,0.942052960395813,1.1877323389053345
7,0.42435187101364136,0.9919697046279907,0.8020491600036621,0.9549180269241333,1.2060985565185547,0.3600757122039795,0.8940353393554688,0.8344370722770691,0.9586092829704285,1.0798155069351196
8,0.42997628450393677,0.9059872031211853,0.8057377338409424,0.9692623019218445,1.1225801706314087,0.36574944853782654,0.8008345365524292,0.8394039869308472,0.9586092829704285,0.9890861511230469
9,0.428977370262146,0.8374872803688049,0.8225409984588623,0.9651639461517334,1.0518375635147095,0.3280908763408661,0.7438580393791199,0.8576158881187439,0.9635761380195618,0.9128594994544983
10,0.40092387795448303,0.7571445107460022,0.8471311330795288,0.9696721434593201,0.9558497667312622,0.3398135304450989,0.6820206046104431,0.8758277893066406,0.9635761380195618,0.8565290570259094
11,0.38924893736839294,0.7238887548446655,0.8495901823043823,0.9713114500045776,0.9185481667518616,0.32669514417648315,0.6542460322380066,0.8576158881187439,0.9619205594062805,0.822238564491272
12,0.4010993540287018,0.6795816421508789,0.8450819849967957,0.9741803407669067,0.8807052969932556,0.29865437746047974,0.6373347640037537,0.8559602499008179,0.9685430526733398,0.7908440828323364
13,0.38431334495544434,0.613833487033844,0.8672131299972534,0.9795082211494446,0.8103839755058289,0.34364819526672363,0.588914692401886,0.8559602499008179,0.9586092829704285,0.7652185559272766
14,0.3750176727771759,0.5939115285873413,0.86147540807724,0.9766393303871155,0.7839367985725403,0.329924076795578,0.553540050983429,0.8642383813858032,0.9701986908912659,0.7226341962814331
15,0.3690912425518036,0.552122175693512,0.8721311688423157,0.9778688549995422,0.7398868799209595,0.33497849106788635,0.5107873678207397,0.8708609342575073,0.9652317762374878,0.6823227405548096
