fold,retrieval_mode,topn,label,precision,recall,f1_score,support
4,centroid,1,Alaris,0.8,0.7407407407407407,0.7692307692307693,27
4,centroid,1,Alcatras,0.7,0.8076923076923077,0.75,26
4,centroid,1,Braga,0.9375,0.8108108108108109,0.8695652173913043,37
4,centroid,1,Castor,0.7692307692307693,0.967741935483871,0.8571428571428571,31
4,centroid,1,Denom,0.8947368421052632,0.918918918918919,0.9066666666666666,37
4,centroid,1,Gemini,0.8461538461538461,0.8148148148148148,0.8301886792452831,27
4,centroid,1,Hawk,1.0,1.0,1.0,25
4,centroid,1,Ilias,0.9615384615384616,0.8928571428571429,0.9259259259259259,28
4,centroid,1,Mytikas,0.7307692307692307,0.7037037037037037,0.7169811320754716,27
4,centroid,1,Nivalis,0.8636363636363636,0.8636363636363636,0.8636363636363636,22
4,centroid,1,Ratikon,0.8518518518518519,0.8518518518518519,0.8518518518518519,27
4,centroid,1,Steel_Wheel,0.9722222222222222,1.0,0.9859154929577465,35
4,centroid,1,Triton,0.75,0.7924528301886793,0.7706422018348624,53
4,centroid,1,Trius,0.7777777777777778,0.7,0.7368421052631579,40
4,centroid,1,Turbine,1.0,0.8148148148148148,0.8979591836734694,27
4,centroid,1,Vega,0.9714285714285714,0.9714285714285714,0.9714285714285714,35
4,centroid,1,Velorum,0.9508196721311475,0.9830508474576272,0.9666666666666667,59
4,centroid,1,Xtreme,0.9743589743589743,1.0,0.987012987012987,38
4,centroid,1,macro avg,0.8751124768446934,0.8685842030222344,0.8698698151113308,601
4,centroid,1,weighted avg,0.8767916931353014,0.8735440931780366,0.8733281827665496,601
