retrieval_mode,topn,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean,support_std
centroid,1,Alaris,5,0.8620082815734988,0.037242573031981294,0.8111111111111111,0.07779037438937188,0.8339968348081939,0.04886383073328554,27.6,0.4898979485566356
centroid,1,Alcatras,5,0.7602957068474311,0.05280311811220376,0.8,0.044853476114194595,0.7793845567430473,0.04747449791286804,26.0,0.0
centroid,1,Braga,5,0.8996295455118984,0.040410872034647424,0.8122332859174964,0.08467132967532168,0.8514871695928997,0.05873368293957001,37.4,0.4898979485566356
centroid,1,Castor,5,0.8246660153780896,0.04822115575381342,0.9497983870967742,0.03175259213324199,0.881151852916559,0.018698577931489924,31.8,0.4
centroid,1,Denom,5,0.8641870973140323,0.05755534929313915,0.8462304409672831,0.0707549470542745,0.8547099731310258,0.062330086957639676,37.6,0.4898979485566356
centroid,1,Gemini,5,0.919874643874644,0.05368004526980525,0.9042328042328043,0.0447207335642655,0.9111187653789441,0.04155481741538317,27.2,0.39999999999999997
centroid,1,Hawk,5,0.9692307692307693,0.02878197989826107,0.9615384615384615,0.03440104580768905,0.965001508295626,0.025520364843518606,25.6,0.4898979485566356
centroid,1,Ilias,5,0.912183908045977,0.07608674496876487,0.8682266009852218,0.03973082768754525,0.8878709350153832,0.04339781420021192,28.8,0.4
centroid,1,Mytikas,5,0.7745775729646698,0.032882910335802845,0.7383597883597883,0.08065269423192054,0.7529818204394475,0.04384300903849713,27.6,0.4898979485566356
centroid,1,Nivalis,5,0.8874132630654369,0.10523748200697199,0.7739130434782608,0.08751705788027303,0.8223473579287534,0.07846565694435152,22.2,0.39999999999999997
centroid,1,Ratikon,5,0.7978501810080758,0.09968397070605485,0.878042328042328,0.06185273443411933,0.8334796238244515,0.07583626079826651,27.8,0.4
centroid,1,Steel_Wheel,5,0.9944444444444445,0.011111111111111117,0.9942857142857143,0.011428571428571432,0.9942845478669117,0.007001161057676159,35.2,0.4
centroid,1,Triton,5,0.8269361470788767,0.07617059710720996,0.8610761705101329,0.046236647886840274,0.8405005248919293,0.03928100698749228,53.4,0.4898979485566356
centroid,1,Trius,5,0.8294676472079627,0.06365142973619793,0.7781707317073171,0.05181764575566635,0.802227828203438,0.052136795552253604,40.6,0.4898979485566356
centroid,1,Turbine,5,0.9472275132275133,0.056033395761895116,0.8690476190476192,0.05503027052298872,0.9053240290706597,0.04508790791163228,27.6,0.4898979485566356
centroid,1,Vega,5,0.9328034654863924,0.05569506188277626,0.9771428571428572,0.011428571428571432,0.9536679598539728,0.03241532961870907,35.2,0.4
centroid,1,Velorum,5,0.9549112021857923,0.02644845789041908,0.9898305084745763,0.008303355060281938,0.9719229768101556,0.016673063853566865,59.2,0.4
centroid,1,Xtreme,5,0.9840530814215025,0.01303891750930621,0.9789473684210528,0.0306892204991858,0.9813286286970498,0.020198631191066088,38.0,0.0
