brand,model,generation,year_from,year_to,pcd,cb,bolt_count,thread_size,center_bore_mm,diameter_min_in,diameter_max_in,width_min_j,width_max_j,et_min,et_max,notes,source_type,source_page,extraction_confidence,needs_manual_review
Skoda,Kamiq,I,2018,2023,5x100,57.1,5,M14 x 1.5,57.1,16.0,18.0,6.5,7.0,34.0,35.0,aggregated_from_modifications=1 | modification_names=1.5 MPI | tables_parsed=1 | rim_rows_parsed=3 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kamiq/2022/,0.9,False
Skoda,Kamiq Gt,I,2020,2023,5x100,57.1,5,M14 x 1.5,57.1,16.0,18.0,6.5,7.0,34.0,35.0,aggregated_from_modifications=2 | modification_names=1.2 TSI | 1.5 MPI | tables_parsed=2 | rim_rows_parsed=6 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kamiq-gt/2021/,0.9,False
Skoda,Karoq,NU7,2017,2022,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.0,8.0,43.0,45.0,aggregated_from_modifications=4 | modification_names=1.0TSI | 1.5TSI | 1.6TDI | 2.0TDI 4x4 | tables_parsed=4 | rim_rows_parsed=17 | aggregated_from_modifications=2 | modification_names=1.4 TSI | 2.0TSI | tables_parsed=2 | rim_rows_parsed=6 | merged_from_urls=2,tirewheelguide,https://tirewheelguide.com/sizes/skoda/karoq/2017/ | https://tirewheelguide.com/sizes/skoda/karoq/2022/,0.9,False
Skoda,Karoq,NU7 Facelift,2021,2023,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.0,8.0,43.0,45.0,aggregated_from_modifications=7 | modification_names=1.0 TSI | 1.4 TSI | 1.5 TSI | 2.0 TDI | 2.0 TDI 4x4 | 2.0 TSI 4x4 | tables_parsed=7 | rim_rows_parsed=28 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/karoq/2022/,0.9,False
Skoda,Kodiaq,NS7,2016,2021,5x112,57.1,5,M14 x 1.5,57.1,17.0,20.0,6.5,8.5,38.0,43.0,aggregated_from_modifications=5 | modification_names=1.4TSI | 2.0TDI | 2.0TSI | tables_parsed=5 | rim_rows_parsed=35 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kodiaq/2016/,0.9,False
Skoda,Kodiaq,NS7 Facelift,2021,2023,5x112,57.1,5,M14 x 1.5,57.1,17.0,20.0,6.5,8.5,38.0,43.0,aggregated_from_modifications=7 | modification_names=1.4 TSI | 1.5 TSI | 2.0 TDI | 2.0 TSI | tables_parsed=7 | rim_rows_parsed=60 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kodiaq/2022/,0.9,False
Skoda,Kodiaq Gt,I,2019,2023,5x112,57.1,5,M14 x 1.5,57.1,17.0,20.0,7.0,8.5,38.0,43.0,aggregated_from_modifications=2 | modification_names=2.0 TSI | tables_parsed=2 | rim_rows_parsed=12 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kodiaq-gt/2021/,0.9,False
Skoda,Kushaq,Skoda Kushaq,2021,2023,5x100,57.1,5,M14 x 1.5,57.1,16.0,18.0,6.0,7.0,35.0,39.0,aggregated_from_modifications=2 | modification_names=1.0 TSI | 1.5 TSI | tables_parsed=2 | rim_rows_parsed=8 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/kushaq/2021/,0.9,False
Skoda,Octavia Classic,5E,2018,2018,5x112,57.1,5,M14 x 1.5,57.1,15.0,18.0,6.0,7.5,43.0,51.0,aggregated_from_modifications=1 | modification_names=1.6MPI | tables_parsed=1 | rim_rows_parsed=4 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-classic/2018/,0.9,False
Skoda,Octavia Pro,Skoda Octavia Pro,2021,2023,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.5,7.5,46.0,48.0,aggregated_from_modifications=1 | modification_names=1.4 TSI | tables_parsed=1 | rim_rows_parsed=6 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-pro/2022/,0.9,False
Skoda,Octavia Scout,Mk2 (1Z),2006,2013,5x112,57.1,5,M14 x 1.5,57.1,17.0,18.0,7.0,7.5,45.0,50.0,aggregated_from_modifications=2 | modification_names=1.8TSI | 2.0TDI | tables_parsed=2 | rim_rows_parsed=4 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-scout/2010/,0.9,False
